,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,6.1,8.69,50.0
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,25.8,11.5,54.4
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,20.2,3.91,58.6
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,32.2,3.54,44.6
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,4.5,7.11,30.0
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,0.3,0.00,
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,27.5,6.29,26.8
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,1.3,4.62,42.9
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,18.7,9.41,62.2
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,1.5,6.00,33.3
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,25.3,6.09,41.7
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,29.0,9.83,52.9
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,15.1,7.15,38.0
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,12.4,8.15,51.6
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,13.4,5.97,11.1
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,18.3,7.98,50.0
Bernard\Bernard,MFFW,Everton,eng Premier League,27,5.1,11.6,
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,10.8,7.13,50.0
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,2.3,5.22,45.5
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38.0,4.39,
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,2.2,5.00,0.0
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,8.3,6.02,
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,0.1,10.0,
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,28.9,7.27,38.6
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,6.8,5.29,13.6
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1.0,2.00,0.0
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,2.1,10.0,73.3
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,3.0,9.33,18.8
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,1.0,17.0,62.5
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,1.4,5.00,55.6
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,17.0,13.1,70.9
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,13.8,3.62,41.1
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,31.1,6.53,36.7
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,10.2,7.75,52.2
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,34.6,10.5,63.3
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,16.8,7.08,31.0
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,2.4,12.5,16.7
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,6.4,6.41,20.0
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,18.2,4.84,
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,31.0,8.23,23.1
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,0.1,10.0,
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,26.3,9.77,73.0
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,10.1,7.33,44.4
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,2.8,10.4,40.0
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,22.9,8.73,26.4
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,20.7,8.60,52.0
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,1.4,11.4,50.0
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,19.8,4.85,37.5
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,3.1,13.5,62.5
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,12.3,6.83,36.4
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,14.6,6.51,31.0
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,20.9,8.61,74.7
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,25.1,7.05,41.5
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,1.5,5.33,0.0
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,6.3,5.40,28.6
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,27.4,8.25,65.7
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,22.5,7.16,73.6
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1.0,9.00,
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,0.1,0.00,100.0
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,23.1,7.66,56.5
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,36.8,10.4,69.3
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,30.2,5.43,42.3
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,19.3,7.20,43.5
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,7.2,8.19,31.3
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,8.1,8.15,40.0
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,6.7,9.70,33.3
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,31.3,7.64,39.2
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33.0,4.24,
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,9.1,8.68,56.5
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,5.9,11.4,80.0
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,28.4,8.27,31.5
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,0.1,30.0,100.0
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,28.5,6.14,25.0
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,17.2,9.07,59.7
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,33.8,7.72,56.2
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,29.9,4.82,20.5
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,7.2,8.06,16.7
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,0.7,10.0,33.3
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,1.3,6.15,0.0
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,14.0,10.2,46.9
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,11.7,9.40,51.2
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,13.1,3.05,50.0
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,16.6,7.71,18.8
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,10.1,8.32,57.7
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,10.7,8.79,70.0
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,0.2,10.0,66.7
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20.0,4.45,
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1.0,4.00,
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,20.2,6.73,20.7
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,32.6,8.34,60.5
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,0.0,2,
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,12.5,4.88,21.1
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,13.6,10.1,48.9
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,6.3,4.76,37.5
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,14.7,8.44,51.1
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,0.0,0,100.0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,37.9,8.42,57.1
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,30.8,11.4,69.7
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,15.9,7.99,33.3
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,31.3,12.7,62.3
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,28.7,9.34,50.0
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,18.0,9.28,44.4
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,0.3,10.0,50.0
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,5.3,5.66,16.7
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,29.5,10.2,64.9
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,1.0,4.00,25.0
Bryan\Bryan,FW,Sevilla,es La Liga,19,0.1,10.0,50.0
Bryan\Bryan,MFFW,Eibar,es La Liga,19,25.2,7.26,21.3
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,7.4,8.92,66.7
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,11.2,8.21,62.0
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,0.2,10.0,
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,18.1,4.31,55.9
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8.0,4.25,
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,10.9,8.26,40.5
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,9.5,7.58,72.7
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,12.3,14.3,52.8
Burgui\Burgui,MF,Alavés,es La Liga,26,0.2,10.0,100.0
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,15.3,7.78,26.6
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,0.2,10.0,100.0
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,14.1,3.83,35.5
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,18.5,4.22,0.0
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,22.9,8.52,70.7
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,0.0,0,
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,14.6,8.08,37.5
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,13.3,7.29,38.9
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,28.0,10.6,52.5
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1.0,4.00,
David Button\David-Button,GK,West Brom,eng Premier League,31,1.0,2.00,
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,0.2,10.0,
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1.0,11.0,
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,14.7,9.52,73.2
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1.0,4.00,
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,10.5,8.38,8.3
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,24.9,6.95,44.7
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,31.1,8.49,42.2
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,23.0,6.57,23.3
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20.0,7.35,67.2
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,25.0,8.52,53.7
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,10.3,4.27,52.5
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,4.0,4.25,
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,8.4,8.45,28.6
Cala\Cala,DF,Cádiz,es La Liga,30,25.2,8.45,60.8
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,0.2,20.0,100.0
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,it Serie A,24,0.2,15.0,
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,29.4,10.2,38.2
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,0.7,12.9,75.0
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,1.2,14.2,45.5
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,17.5,6.57,43.1
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,31.3,8.63,77.7
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,29.0,6.62,24.0
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,3.3,9.39,33.3
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,2.0,7.50,100.0
Daniel Caligiuri\Daniel-Caligiuri,MFDF,Augsburg,de Bundesliga,32,29.6,8.14,41.4
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,7.4,6.08,43.8
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,17.2,4.24,48.6
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,31.9,3.61,49.3
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,19.8,5.71,54.7
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,0.2,10.0,100.0
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,36.6,8.69,60.8
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,26.7,7.79,48.3
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,8.3,9.16,42.9
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,23.7,11.0,71.8
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,27.8,6.65,30.0
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,25.5,10.2,53.8
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,27.8,7.45,11.8
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,2.6,4.23,30.8
Ander Capa\Ander-Capa,DF,Athletic Club,es La Liga,28,23.7,9.03,51.1
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,fr Ligue 1,33,22.8,9.39,44.4
Étienne Capoue\Etienne-Capoue,MF,Villarreal,es La Liga,32,13.2,8.18,76.3
Elio Capradossi\Elio-Capradossi,DF,Spezia,it Serie A,24,1.0,3.00,33.3
Gianluca Caprari\Gianluca-Caprari,MFFW,Benevento,it Serie A,27,20.7,6.18,11.1
Francesco Caputo\Francesco-Caputo,FW,Sassuolo,it Serie A,32,18.9,2.28,39.5
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,fr Ligue 1,20,19.6,9.08,55.6
Andrea Carboni\Andrea-Carboni,DF,Cagliari,it Serie A,19,12.1,6.03,47.5
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,es La Liga,27,28.7,9.58,51.6
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8.0,5.63,
Irvin Cardona\Irvin-Cardona,FWMF,Brest,fr Ligue 1,22,22.5,3.24,42.1
Marc Cardona\Marc-Cardona,FWMF,Osasuna,es La Liga,25,0.6,11.7,0.0
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,eng Premier League,20,3.9,6.67,0.0
Diego Carlos\Diego-Carlos,DF,Sevilla,es La Liga,27,31.0,7.77,57.9
Juan Carlos\Juan-Carlos,MFFW,Huesca,es La Liga,29,3.2,7.50,50.0
Lionel Carole\Lionel-Carole,DF,Strasbourg,fr Ligue 1,29,14.9,10.1,80.0
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,es La Liga,26,24.2,7.02,20.0
Sergio Carreira\Sergio-Carreira,DF,Celta Vigo,es La Liga,19,2.9,5.52,50.0
Guido Carrillo\Guido-Carrillo,FW,Elche,es La Liga,29,11.1,4.59,57.4
Andy Carroll\Andy-Carroll,FW,Newcastle Utd,eng Premier League,31,4.4,8.41,57.3
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1.0,5.00,
Dani Carvajal\Dani-Carvajal,DF,Real Madrid,es La Liga,28,10.6,9.43,57.9
Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,eng Premier League,17,2.8,5.71,16.7
William Carvalho\William-Carvalho,MF,Betis,es La Liga,28,13.6,8.75,61.4
Casemiro\Casemiro,MF,Real Madrid,es La Liga,28,32.2,11.1,56.0
Matty Cash\Matty-Cash,DF,Aston Villa,eng Premier League,22,26.4,8.64,48.8
Kiko Casilla\Kiko-Casilla,GK,Leeds United,eng Premier League,33,3.0,4.67,
Giuseppe Caso\Giuseppe-Caso,MF,Genoa,it Serie A,21,0.6,13.3,50.0
Moreto Cassamã\Moreto-Cassama,MF,Reims,fr Ligue 1,22,22.6,10.0,25.0
Francesco Cassata\Francesco-Cassata,DFMF,Genoa,it Serie A,23,2.5,8.00,20.0
Timothy Castagne\Timothy-Castagne,DF,Leicester City,eng Premier League,24,26.1,8.43,48.8
Koen Casteels\Koen-Casteels,GK,Wolfsburg,de Bundesliga,28,32.0,5.13,
Jean-Charles Castelletto\Jean-Charles-Castelletto,DF,Nantes,fr Ligue 1,25,21.6,8.84,64.4
Samu Castillejo\Samu-Castillejo,FW,Milan,it Serie A,25,13.1,6.41,33.3
Gonzalo Castro\Gonzalo-Castro,MFFW,Stuttgart,de Bundesliga,33,19.2,8.44,40.6
Jonny Castro\Jonny-Castro,DF,Wolves,eng Premier League,26,5.5,6.73,66.7
Gaetano Castrovilli\Gaetano-Castrovilli,MF,Fiorentina,it Serie A,23,25.9,7.03,27.6
Danilo Cataldi\Danilo-Cataldi,MF,Lazio,it Serie A,25,6.3,10.6,28.6
Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,eng Premier League,26,27.5,6.29,34.1
Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,eng Premier League,33,15.3,4.77,32.1
Dani Ceballos\Dani-Ceballos,MF,Arsenal,eng Premier League,23,17.9,10.9,36.8
Federico Ceccherini\Federico-Ceccherini,DF,Fiorentina,it Serie A,28,3.0,8.67,50.0
Federico Ceccherini\Federico-Ceccherini,DF,Hellas Verona,it Serie A,28,19.3,11.7,68.8
Zeki Çelik\Zeki-Celik,DF,Lille,fr Ligue 1,23,26.5,7.47,59.0
Bersant Celina\Bersant-Celina,MFFW,Dijon,fr Ligue 1,23,25.5,6.16,14.3
Fabien Centonze\Fabien-Centonze,DF,Metz,fr Ligue 1,24,35.8,8.97,63.7
Luca Ceppitelli\Luca-Ceppitelli,DF,Cagliari,it Serie A,30,16.3,7.67,69.7
Alberto Cerri\Alberto-Cerri,FWMF,Cagliari,it Serie A,24,4.1,6.34,57.6
Sava Cestic\Sava-Cestic,DF,Köln,de Bundesliga,19,10.0,7.40,65.5
Julian Chabot\Julian-Chabot,DF,Spezia,it Serie A,22,18.4,8.80,64.9
Nassim Chadli\Nassim-Chadli,FWMF,Nîmes,fr Ligue 1,19,0.3,6.67,
Fouad Chafik\Fouad-Chafik,DF,Dijon,fr Ligue 1,33,18.0,8.11,53.5
Mehdi Chahiri\Mehdi-Chahiri,FWMF,Strasbourg,fr Ligue 1,24,8.9,7.19,43.3
Sofian Chakla\Sofian-Chakla,DF,Getafe,es La Liga,26,10.0,10.4,68.4
Sofian Chakla\Sofian-Chakla,DF,Villarreal,es La Liga,26,0.1,20.0,100.0
Aníbal Chalá\Anibal-Chala,DF,Dijon,fr Ligue 1,24,8.3,6.63,43.8
Trevoh Chalobah\Trevoh-Chalobah,DFMF,Lorient,fr Ligue 1,21,24.9,8.80,53.3
Calum Chambers\Calum-Chambers,DF,Arsenal,eng Premier League,25,8.4,11.2,57.5
Timothy Chandler\Timothy-Chandler,DF,Eint Frankfurt,de Bundesliga,30,4.8,7.29,60.0
Kwon Chang-hoon\Kwon-Chang-hoon,MFFW,Freiburg,de Bundesliga,26,2.4,5.00,50.0
Gaëtan Charbonnier\Gaetan-Charbonnier,MFFW,Brest,fr Ligue 1,31,17.4,5.06,38.8
Brendan Chardonnet\Brendan-Chardonnet,DF,Brest,fr Ligue 1,25,30.2,7.25,63.6
Xavier Chavalerin\Xavier-Chavalerin,MF,Reims,fr Ligue 1,29,28.3,6.93,45.2
Pape Cheikh Diop\Pape-Cheikh-Diop,MF,Dijon,fr Ligue 1,22,12.1,10.5,44.0
Chema\Chema,DFMF,Getafe,es La Liga,28,6.2,10.6,40.0
Rayan Cherki\Rayan-Cherki,FWMF,Lyon,fr Ligue 1,16,7.8,5.64,10.0
Denis Cheryshev\Denis-Cheryshev,MF,Valencia,es La Liga,29,12.2,5.90,41.7
Giorgio Chiellini\Giorgio-Chiellini,DF,Juventus,it Serie A,35,15.4,7.66,69.2
Federico Chiesa\Federico-Chiesa,MFDF,Juventus,it Serie A,22,24.6,5.33,15.0
Federico Chiesa\Federico-Chiesa,DF,Fiorentina,it Serie A,22,2.7,7.41,50.0
Ben Chilwell\Ben-Chilwell,DF,Chelsea,eng Premier League,23,25.4,7.80,55.0
Vlad Chiricheș\Vlad-Chiriches,DF,Sassuolo,it Serie A,30,20.4,9.95,58.2
Pedro Chirivella\Pedro-Chirivella,MF,Nantes,fr Ligue 1,23,25.3,10.0,33.3
Tahith Chong\Tahith-Chong,FWMF,Werder Bremen,de Bundesliga,20,4.3,11.4,10.0
Joris Chotard\Joris-Chotard,MF,Montpellier,fr Ligue 1,18,12.9,7.52,40.0
Hamza Choudhury\Hamza-Choudhury,MF,Leicester City,eng Premier League,22,3.5,15.4,40.0
Mounir Chouiar\Mounir-Chouiar,FWMF,Dijon,fr Ligue 1,21,14.3,6.36,44.4
Andreas Christensen\Andreas-Christensen,DF,Chelsea,eng Premier League,24,15.2,8.62,67.2
Carney Chukwuemeka\Carney-Chukwuemeka,FWMF,Aston Villa,eng Premier League,16,0.2,0.00,20.0
Samuel Chukwueze\Samuel-Chukwueze,MFFW,Villarreal,es La Liga,21,15.2,5.86,46.4
Darko Churlinov\Darko-Churlinov,DFFW,Stuttgart,de Bundesliga,20,2.4,8.75,25.0
Víctor Chust\Victor-Chust,DF,Real Madrid,es La Liga,20,1.1,8.18,50.0
Sébastien Cibois\Sebastien-Cibois,GK,Brest,fr Ligue 1,22,3.0,4.00,
Cifu\Cifu,DF,Elche,es La Liga,29,5.0,10.4,53.3
Alberto Cifuentes\Alberto-Cifuentes,GK,Cádiz,es La Liga,41,2.0,6.00,
Luca Cigarini\Luca-Cigarini,MF,Crotone,it Serie A,34,10.3,9.51,44.4
Jasper Cillessen\Jasper-Cillessen,GK,Valencia,es La Liga,31,10.0,4.70,
Antonio Cioffi\Antonio-Cioffi,FW,Napoli,it Serie A,17,0.1,10.0,
Tim Civeja\Tim-Civeja,MFDF,Augsburg,de Bundesliga,18,0.4,25.0,
Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,eng Premier League,30,21.0,8.00,69.3
Alexis Claude-Maurice\Alexis-Claude-Maurice,MFFW,Nice,fr Ligue 1,22,21.2,5.24,23.3
Jonathan Clauss\Jonathan-Clauss,DF,Lens,fr Ligue 1,27,28.0,7.25,36.2
Carlos Clerc\Carlos-Clerc,DF,Levante,es La Liga,28,30.9,8.77,64.0
Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,eng Premier League,29,12.7,7.80,31.8
Conor Coady\Conor-Coady,DF,Wolves,eng Premier League,27,36.7,7.36,58.0
Marcus Coco\Marcus-Coco,MFFW,Nantes,fr Ligue 1,24,16.4,7.74,40.7
Coke\Coke,DF,Levante,es La Liga,33,9.3,7.63,38.2
Séamus Coleman\Seamus-Coleman,DFMF,Everton,eng Premier League,31,17.9,8.55,50.0
Ebrima Colley\Ebrima-Colley,FWMF,Hellas Verona,it Serie A,20,8.2,7.20,11.1
Omar Colley\Omar-Colley,DF,Sampdoria,it Serie A,27,28.8,9.41,64.3
Simone Colombi\Simone-Colombi,GK,Parma,it Serie A,29,2.0,3.50,
Lorenzo Colombo\Lorenzo-Colombo,FW,Milan,it Serie A,18,1.0,6.00,50.0
Racine Coly\Racine-Coly,DF,Nice,fr Ligue 1,24,0.2,15.0,
Kingsley Coman\Kingsley-Coman,FWMF,Bayern Munich,de Bundesliga,24,19.5,6.72,35.1
Daniel Congré\Daniel-Congre,DF,Montpellier,fr Ligue 1,35,36.6,8.22,59.7
Aaron Connolly\Aaron-Connolly,FW,Brighton,eng Premier League,20,8.8,3.18,26.8
Andrea Consigli\Andrea-Consigli,GK,Sassuolo,it Serie A,33,37.0,4.11,
Andrea Conti\Andrea-Conti,DF,Milan,it Serie A,26,0.3,3.33,
Andrea Conti\Andrea-Conti,DF,Parma,it Serie A,26,9.0,5.22,55.6
Liam Cooper\Liam-Cooper,DF,Leeds United,eng Premier League,28,24.3,12.6,66.0
Francis Coquelin\Francis-Coquelin,MF,Villarreal,es La Liga,29,8.2,11.3,62.5
Theo Corbeanu\Theo-Corbeanu,FW,Wolves,eng Premier League,18,0.1,0.00,
Sébastien Corchia\Sebastien-Corchia,DF,Nantes,fr Ligue 1,29,23.0,6.26,49.3
Alex Cordaz\Alex-Cordaz,GK,Crotone,it Serie A,37,36.0,5.03,100.0
Iñigo Córdoba\Inigo-Cordoba,FWMF,Athletic Club,es La Liga,23,1.1,10.0,100.0
Iñigo Córdoba\Inigo-Cordoba,MF,Alavés,es La Liga,23,2.4,8.33,45.5
