,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Daam Foulon\Daam-Foulon,DF,Benevento,it Serie A,21,11.3,0.00,3.63,0.53,1.77
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,es La Liga,27,29.6,0.00,4.80,0.57,1.11
Juan Foyth\Juan-Foyth,DFMF,Villarreal,es La Liga,22,13.0,0.15,8.85,1.23,0.15
Gianluca Frabotta\Gianluca-Frabotta,DF,Juventus,it Serie A,21,7.7,0.13,6.49,0.91,4.03
Raphael Framberger\Raphael-Framberger,DF,Augsburg,de Bundesliga,24,17.1,0.06,7.37,0.88,2.46
Tyrese Francois\Tyrese-Francois,DF,Fulham,eng Premier League,20,0.2,0.00,10.0,0.00,0.00
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,eng Premier League,26,10.3,0.10,4.76,1.84,5.05
Fred\Fred,MF,Manchester Utd,eng Premier League,27,26.6,0.23,9.10,2.14,0.26
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,eng Premier League,27,6.3,0.00,4.60,0.16,2.86
Remo Freuler\Remo-Freuler,MF,Atalanta,it Serie A,28,30.1,0.07,8.11,1.43,0.60
Marco Friedl\Marco-Friedl,DF,Werder Bremen,de Bundesliga,22,30.9,0.00,4.89,3.92,0.32
Marvin Friedrich\Marvin-Friedrich,DF,Union Berlin,de Bundesliga,24,34.0,0.03,6.38,1.56,0.26
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,de Bundesliga,19,4.8,0.00,7.08,0.42,3.33
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,es La Liga,23,24.3,0.08,5.43,1.15,3.00
Christian Fuchs\Christian-Fuchs,DF,Leicester City,eng Premier League,34,7.8,0.13,5.77,1.41,1.03
Angelo Fulgini\Angelo-Fulgini,MF,Angers,fr Ligue 1,23,30.3,0.50,9.80,1.91,1.45
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,de Bundesliga,27,9.7,0.00,8.66,0.41,0.31
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,es La Liga,29,8.1,0.00,6.30,0.86,0.25
Darnell Furlong\Darnell-Furlong,DF,West Brom,eng Premier League,24,32.6,0.00,5.55,0.95,2.24
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5.0,0.00,3.80,0.40,0.00
Baptiste Gabard\Baptiste-Gabard,MF,Saint-Étienne,fr Ligue 1,20,1.5,0.00,4.00,0.00,0.00
Matteo Gabbia\Matteo-Gabbia,DF,Milan,it Serie A,20,6.2,0.00,4.19,1.61,0.00
Manolo Gabbiadini\Manolo-Gabbiadini,FW,Sampdoria,it Serie A,28,9.7,0.21,7.22,0.72,0.62
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,de Bundesliga,25,9.1,0.00,5.16,1.32,1.98
Roberto Gagliardini\Roberto-Gagliardini,MF,Inter,it Serie A,26,13.7,0.00,8.39,1.46,0.95
Riccardo Gagliolo\Riccardo-Gagliolo,DF,Parma,it Serie A,30,21.7,0.00,4.88,1.57,1.80
Adolfo Gaich\Adolfo-Gaich,FW,Benevento,it Serie A,21,8.5,0.12,4.59,0.12,0.35
Andrey Galabinov\Andrey-Galabinov,FW,Spezia,it Serie A,31,4.8,0.21,5.21,0.63,0.21
Javi Galán\Javi-Galan,DF,Huesca,es La Liga,25,34.1,0.00,5.81,1.50,3.05
Conor Gallagher\Conor-Gallagher,MF,West Brom,eng Premier League,20,28.1,0.00,6.41,1.00,1.14
Enric Gallego\Enric-Gallego,FW,Osasuna,es La Liga,33,9.0,0.11,11.6,0.56,0.89
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,es La Liga,33,12.0,0.00,5.17,0.08,0.17
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,fr Ligue 1,30,17.6,0.06,11.2,1.14,0.40
Ignatius Ganago\Ignatius-Ganago,FW,Lens,fr Ligue 1,21,14.5,0.07,4.90,0.34,1.17
Aleix García\Aleix-Garcia,MF,Eibar,es La Liga,23,4.9,0.00,6.73,4.49,0.61
Borja García\Borja-Garcia,MFFW,Huesca,es La Liga,29,12.4,0.24,8.06,1.05,0.73
Dani García\Dani-Garcia,MF,Athletic Club,es La Liga,30,21.3,0.05,7.56,2.16,0.23
David García\David-Garcia,DF,Osasuna,es La Liga,26,35.0,0.03,5.54,1.49,0.11
Eric García\Eric-Garcia,DF,Manchester City,eng Premier League,19,4.3,0.00,3.72,0.70,0.00
Manu García\Manu-Garcia,MF,Alavés,es La Liga,34,12.5,0.00,7.20,0.80,0.56
Raúl García\Raul-Garcia,FWMF,Athletic Club,es La Liga,34,19.4,0.31,9.43,0.52,0.88
Raúl García\Raul-Garcia,DFMF,Valladolid,es La Liga,31,5.6,0.00,4.82,0.89,3.57
Rubén García\Ruben-Garcia,MFFW,Osasuna,es La Liga,27,30.2,0.00,7.09,2.88,3.01
Sergi García\Sergi-Garcia,MF,Alavés,es La Liga,21,0.2,0.00,10.0,0.00,0.00
Unai García\Unai-Garcia,DF,Osasuna,es La Liga,28,13.8,0.00,4.20,1.96,0.22
Mario Gaspar\Mario-Gaspar,DF,Villarreal,es La Liga,29,20.6,0.00,5.87,0.83,1.46
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,0.0,0,0,0,0
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,eng Premier League,29,5.7,0.00,5.61,0.18,0.35
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8.0,0.00,1.13,0.63,0.00
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,eng Premier League,24,0.1,0.00,40.0,0.00,0.00
Yann Gboho\Yann-Gboho,MFFW,Rennes,fr Ligue 1,19,3.4,0.00,8.24,0.29,1.47
David de Gea\David-de-Gea,GK,Manchester Utd,eng Premier League,29,25.5,0.00,1.25,0.59,0.00
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,de Bundesliga,26,7.6,0.00,5.39,0.53,1.05
Theodor Gebre Selassie\Theodor-Gebre-Selassie,DF,Werder Bremen,de Bundesliga,33,33.7,0.00,6.11,0.50,0.98
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,de Bundesliga,17,0.3,0.00,6.67,0.00,0.00
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,de Bundesliga,22,7.3,0.14,8.22,2.19,1.64
Christian Gentner\Christian-Gentner,MF,Union Berlin,de Bundesliga,34,11.5,0.09,7.74,0.52,0.70
Yannick Gerhardt\Yannick-Gerhardt,MFFW,Wolfsburg,de Bundesliga,26,21.5,0.09,6.28,0.60,1.16
Valère Germain\Valere-Germain,FW,Marseille,fr Ligue 1,30,9.5,0.00,7.79,0.53,1.05
Gervinho\Gervinho,FW,Parma,it Serie A,33,22.5,0.04,4.36,0.13,0.89
Willem Geubbels\Willem-Geubbels,FWMF,Monaco,fr Ligue 1,18,3.3,0.00,5.15,0.61,1.21
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,de Bundesliga,29,0.5,0.00,8.00,0.00,0.00
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,eng Premier League,25,17.9,0.11,8.10,1.23,3.41
Paolo Ghiglione\Paolo-Ghiglione,DFMF,Genoa,it Serie A,23,15.1,0.07,4.70,1.46,3.64
Faouzi Ghoulam\Faouzi-Ghoulam,DFFW,Napoli,it Serie A,29,3.2,0.00,7.50,1.56,5.94
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,eng Premier League,30,9.0,0.00,4.33,0.11,1.22
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,eng Premier League,20,4.6,0.22,11.1,1.09,1.74
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,de Bundesliga,28,4.8,0.00,7.92,0.83,3.96
Rafał Gikiewicz\Rafal-Gikiewicz,GK,Augsburg,de Bundesliga,32,34.0,0.00,3.24,0.65,0.00
David Gil\David-Gil,GK,Cádiz,es La Liga,26,4.0,0.00,1.75,1.25,0.00
Billy Gilmour\Billy-Gilmour,MF,Chelsea,eng Premier League,19,2.9,0.00,12.8,1.72,1.03
Álvaro Giménez\Alvaro-Gimenez,FWMF,Cádiz,es La Liga,29,4.5,0.00,8.44,0.22,0.22
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,de Bundesliga,29,2.4,0.00,12.9,0.00,0.42
Matthias Ginter\Matthias-Ginter,DF,M'Gladbach,de Bundesliga,26,34.0,0.09,5.18,1.32,0.47
Andrei Girotto\Andrei-Girotto,DFMF,Nantes,fr Ligue 1,28,29.6,0.03,4.73,1.32,0.20
Olivier Giroud\Olivier-Giroud,FW,Chelsea,eng Premier League,33,8.3,0.00,6.14,0.12,0.36
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,de Bundesliga,26,4.0,0.00,14.0,0.25,0.75
Kamil Glik\Kamil-Glik,DF,Benevento,it Serie A,32,35.6,0.00,3.03,1.43,0.03
Serge Gnabry\Serge-Gnabry,FWMF,Bayern Munich,de Bundesliga,25,18.3,0.22,5.03,1.09,2.57
Ben Godfrey\Ben-Godfrey,DF,Everton,eng Premier League,22,29.8,0.03,5.23,0.54,0.23
Diego Godín\Diego-Godin,DF,Cagliari,it Serie A,34,27.9,0.00,4.44,0.75,0.22
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,de Bundesliga,28,1.6,0.00,5.63,0.63,1.88
Amer Gojak\Amer-Gojak,MFFW,Torino,it Serie A,23,5.3,0.00,7.74,4.15,2.83
Edoardo Goldaniga\Edoardo-Goldaniga,DF,Genoa,it Serie A,26,20.6,0.10,4.66,1.02,1.21
Vladimir Golemić\Vladimir-Golemic,DF,Crotone,it Serie A,29,26.0,0.00,5.73,0.92,0.15
Pierluigi Gollini\Pierluigi-Gollini,GK,Atalanta,it Serie A,25,24.0,0.00,2.04,0.71,0.00
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,fr Ligue 1,24,11.9,0.34,10.9,2.44,3.03
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,it Serie A,25,0.2,0.00,5.00,10.0,0.00
André Gomes\Andre-Gomes,MF,Everton,eng Premier League,27,17.4,0.11,6.03,2.41,0.98
Dani Gómez\Dani-Gomez,FW,Levante,es La Liga,22,18.5,0.05,5.35,0.16,0.59
Ibai Gómez\Ibai-Gomez,MF,Athletic Club,es La Liga,30,4.7,0.00,6.81,1.70,3.19
Joe Gomez\Joe-Gomez,DF,Liverpool,eng Premier League,23,6.6,0.00,9.85,4.39,0.00
Maxi Gómez\Maxi-Gomez,FW,Valencia,es La Liga,23,29.9,0.07,6.09,0.97,0.50
Moi Gómez\Moi-Gomez,MFFW,Villarreal,es La Liga,26,28.5,0.18,7.82,1.23,1.58
Papu Gómez\Papu-Gomez,FWMF,Atalanta,it Serie A,32,7.4,0.14,9.19,2.84,0.81
Papu Gómez\Papu-Gomez,MFFW,Sevilla,es La Liga,32,10.2,0.39,9.41,3.04,2.25
Sergi Gómez\Sergi-Gomez,DF,Sevilla,es La Liga,28,8.0,0.00,6.13,1.63,0.00
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,es La Liga,19,8.8,0.00,7.05,2.61,4.09
Alfred Gomis\Alfred-Gomis,GK,Dijon,fr Ligue 1,26,5.0,0.00,1.40,1.20,0.00
Alfred Gomis\Alfred-Gomis,GK,Rennes,fr Ligue 1,26,22.0,0.00,1.18,0.59,0.00
Maxime Gonalons\Maxime-Gonalons,MF,Granada,es La Liga,31,16.4,0.00,8.54,1.71,0.24
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,fr Ligue 1,24,10.7,0.47,5.14,0.47,0.93
Álvaro González\Alvaro-Gonzalez,DF,Marseille,fr Ligue 1,30,31.5,0.03,4.06,1.40,0.00
Bruno González\Bruno-Gonzalez,DF,Valladolid,es La Liga,30,25.1,0.00,3.63,1.08,0.00
Diego González\Diego-Gonzalez,DF,Elche,es La Liga,25,14.2,0.00,6.06,0.92,0.07
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,de Bundesliga,22,10.4,0.29,4.81,0.38,1.35
Sergio González\Sergio-Gonzalez,MFDF,Cádiz,es La Liga,23,1.0,0.00,8.00,0.00,0.00
Urko González\Urko-Gonzalez,MF,Real Sociedad,es La Liga,19,0.5,0.00,8.00,0.00,0.00
Anthony Gordon\Anthony-Gordon,FWMF,Everton,eng Premier League,19,1.0,0.00,4.00,0.00,1.00
Leon Goretzka\Leon-Goretzka,MF,Bayern Munich,de Bundesliga,25,18.9,0.11,6.88,1.80,0.42
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,es La Liga,23,26.5,0.04,6.04,0.53,2.34
Robin Gosens\Robin-Gosens,DF,Atalanta,it Serie A,26,28.0,0.07,7.54,0.89,2.07
Amine Gouiri\Amine-Gouiri,FWMF,Nice,fr Ligue 1,20,30.5,0.16,7.44,1.48,1.80
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,DF,Augsburg,de Bundesliga,29,31.5,0.03,6.32,1.65,0.13
Jonathan Gradit\Jonathan-Gradit,DF,Lens,fr Ligue 1,27,31.4,0.13,4.81,2.32,0.13
Karlan Grant\Karlan-Grant,FWMF,West Brom,eng Premier League,22,12.5,0.08,4.00,0.16,0.72
Alberto Grassi\Alberto-Grassi,MFDF,Parma,it Serie A,25,13.1,0.00,4.73,0.53,0.53
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,fr Ligue 1,22,25.2,0.04,5.36,1.55,0.28
Demarai Gray\Demarai-Gray,FW,Leicester City,eng Premier League,24,0.2,0.00,0.00,5.00,5.00
Demarai Gray\Demarai-Gray,FW,Leverkusen,de Bundesliga,24,4.9,0.00,6.73,2.24,4.49
Adrian Grbić\Adrian-Grbic,FW,Lorient,fr Ligue 1,23,10.7,0.00,6.64,0.28,0.09
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,eng Premier League,24,24.3,0.16,9.18,1.19,2.43
Etienne Green\Etienne-Green,GK,Saint-Étienne,fr Ligue 1,20,8.0,0.00,0.63,0.50,0.00
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,eng Premier League,18,20.2,0.10,7.08,1.49,1.49
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,de Bundesliga,26,9.3,0.22,6.88,0.75,1.40
Clément Grenier\Clement-Grenier,MF,Rennes,fr Ligue 1,29,12.0,0.17,11.3,3.33,1.67
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,de Bundesliga,29,9.9,0.00,3.74,0.51,0.30
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,es La Liga,29,28.9,0.21,7.47,0.90,1.11
Vincenzo Grifo\Vincenzo-Grifo,MFFW,Freiburg,de Bundesliga,27,25.7,0.23,6.73,2.57,2.41
Lennart Grill\Lennart-Grill,GK,Leverkusen,de Bundesliga,21,4.0,0.00,2.00,0.00,0.00
Florian Grillitsch\Florian-Grillitsch,MFDF,Hoffenheim,de Bundesliga,24,20.9,0.10,11.4,2.39,0.53
Christian Groß\Christian-Gross,MFDF,Werder Bremen,de Bundesliga,31,16.3,0.00,5.83,0.67,0.06
Pascal Groß\Pascal-Gross,MFDF,Brighton,eng Premier League,29,27.6,0.11,7.64,3.62,3.55
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,eng Premier League,32,1.6,0.00,4.38,0.63,1.88
Ilia Gruev\Ilia-Gruev,FW,Werder Bremen,de Bundesliga,20,0.0,0,0,0,0
Carlos Gruezo\Carlos-Gruezo,MF,Augsburg,de Bundesliga,25,23.2,0.04,8.15,1.59,0.04
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,eng Premier League,33,37.0,0.00,2.03,0.43,0.00
Andrés Guardado\Andres-Guardado,MF,Betis,es La Liga,33,14.6,0.14,8.29,2.53,0.41
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,es La Liga,29,19.9,0.00,7.79,1.01,0.85
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,es La Liga,28,11.6,0.00,6.64,1.21,0.26
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,es La Liga,23,25.4,0.16,6.57,1.26,2.13
Mattéo Guendouzi\Matteo-Guendouzi,MF,Hertha BSC,de Bundesliga,21,20.2,0.10,7.87,2.13,0.30
Raphaël Guerreiro\Raphael-Guerreiro,DF,Dortmund,de Bundesliga,26,24.6,0.41,8.01,1.22,1.83
Evann Guessand\Evann-Guessand,FW,Nice,fr Ligue 1,19,0.3,0.00,6.67,0.00,3.33
Kelyan Guessoum\Kelyan-Guessoum,DF,Nîmes,fr Ligue 1,21,12.5,0.08,1.44,1.60,0.08
Ander Guevara\Ander-Guevara,MF,Real Sociedad,es La Liga,23,23.1,0.13,10.3,1.08,0.17
Lamine Gueye\Lamine-Gueye,FWMF,Metz,fr Ligue 1,22,16.2,0.00,6.85,0.99,2.35
Pape Gueye\Pape-Gueye,MF,Marseille,fr Ligue 1,21,22.9,0.09,8.56,1.83,0.39
John Guidetti\John-Guidetti,FWMF,Alavés,es La Liga,28,2.3,0.43,10.0,0.87,0.43
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,de Bundesliga,29,8.3,0.00,6.39,2.05,0.12
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,fr Ligue 1,25,12.4,0.00,7.10,2.10,3.95
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,es La Liga,20,22.1,0.00,6.20,1.86,0.00
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,fr Ligue 1,22,19.5,0.31,12.7,2.15,0.36
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,fr Ligue 1,24,19.6,0.15,8.98,0.82,0.26
Péter Gulácsi\Peter-Gulacsi,GK,RB Leipzig,de Bundesliga,30,33.0,0.06,2.30,0.55,0.00
Manuel Gulde\Manuel-Gulde,DF,Freiburg,de Bundesliga,29,21.7,0.00,6.41,0.74,0.14
Robert Gumny\Robert-Gumny,DF,Augsburg,de Bundesliga,22,15.3,0.00,6.21,0.39,1.50
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,eng Premier League,29,22.5,0.18,8.53,1.51,0.84
Christian Günter\Christian-Gunter,DF,Freiburg,de Bundesliga,27,34.0,0.03,6.06,2.62,3.68
Koray Günter\Koray-Gunter,DF,Hellas Verona,it Serie A,25,19.6,0.05,6.07,1.58,0.10
Jon Guridi\Jon-Guridi,MF,Real Sociedad,es La Liga,25,9.2,0.00,7.07,0.54,0.33
Malo Gusto\Malo-Gusto,DFMF,Lyon,fr Ligue 1,17,0.0,0,0,0,0
Raúl Guti\Raul-Guti,MF,Elche,es La Liga,23,31.8,0.03,6.45,1.48,0.44
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,es La Liga,29,20.3,0.00,2.66,0.99,0.00
Miguel Gutiérrez\Miguel-Gutierrez,DF,Real Madrid,es La Liga,19,3.5,0.00,8.00,0.86,4.29
Emmanuel Gyasi\Emmanuel-Gyasi,FW,Spezia,it Serie A,26,31.7,0.03,7.22,0.44,1.36
Erling Haaland\Erling-Haaland,FW,Dortmund,de Bundesliga,20,26.7,0.04,4.72,0.15,0.49
Janik Haberer\Janik-Haberer,MFFW,Freiburg,de Bundesliga,26,5.4,0.00,9.81,0.74,0.93
Alexander Hack\Alexander-Hack,DF,Mainz 05,de Bundesliga,26,15.2,0.07,5.92,1.25,0.13
Antwoine Hackford\Antwoine-Hackford,FWDF,Sheffield Utd,eng Premier League,16,0.1,0.00,0.00,0.00,0.00
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,es La Liga,24,9.4,0.00,7.45,1.49,2.02
André Hahn\Andre-Hahn,FWMF,Augsburg,de Bundesliga,29,22.6,0.09,6.73,0.71,1.24
Amadou Haidara\Amadou-Haidara,MFDF,RB Leipzig,de Bundesliga,22,21.2,0.14,11.9,0.94,1.60
Massadio Haïdara\Massadio-Haidara,DF,Lens,fr Ligue 1,27,23.7,0.00,6.71,1.22,1.18
Achraf Hakimi\Achraf-Hakimi,DF,Inter,it Serie A,21,29.6,0.00,5.51,1.28,3.55
Sébastien Haller\Sebastien-Haller,FW,West Ham,eng Premier League,26,10.4,0.10,9.04,0.87,0.38
Marcel Halstenberg\Marcel-Halstenberg,DF,RB Leipzig,de Bundesliga,28,18.3,0.33,10.5,1.04,1.58
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,fr Ligue 1,26,9.4,0.00,6.60,0.21,0.11
Romain Hamouma\Romain-Hamouma,FW,Saint-Étienne,fr Ligue 1,33,19.7,0.05,6.85,1.88,2.13
Samir Handanović\Samir-Handanovic,GK,Inter,it Serie A,36,36.0,0.00,3.17,0.28,0.00
Lukáš Haraslín\Lukas-Haraslin,FWMF,Sassuolo,it Serie A,24,3.7,0.00,4.32,1.89,2.43
Amine Harit\Amine-Harit,MFFW,Schalke 04,de Bundesliga,23,23.3,0.34,5.45,1.55,1.03
Rekeem Harper\Rekeem-Harper,MF,West Brom,eng Premier League,20,0.4,0.00,5.00,2.50,0.00
Jack Harrison\Jack-Harrison,MF,Leeds United,eng Premier League,23,31.6,0.13,6.20,1.39,3.77
Marcel Hartel\Marcel-Hartel,MF,Arminia,de Bundesliga,24,18.7,0.05,8.34,1.34,1.60
Makoto Hasebe\Makoto-Hasebe,DFMF,Eint Frankfurt,de Bundesliga,36,25.4,0.04,8.90,1.34,0.16
Hans Hateboer\Hans-Hateboer,DF,Atalanta,it Serie A,26,19.6,0.00,5.66,0.46,1.22
Kortney Hause\Kortney-Hause,DF,Aston Villa,eng Premier League,25,7.0,0.00,4.71,1.29,0.29
Kai Havertz\Kai-Havertz,MFFW,Chelsea,eng Premier League,21,16.9,0.06,10.3,0.47,0.95
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,eng Premier League,25,21.6,0.05,6.30,0.74,0.56
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,es La Liga,29,5.9,0.17,9.32,0.85,1.02
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,de Bundesliga,27,7.3,0.27,6.30,2.60,1.64
Jonas Hector\Jonas-Hector,MF,Köln,de Bundesliga,30,14.3,0.28,8.95,0.91,0.56
Michael Hector\Michael-Hector,DF,Fulham,eng Premier League,28,2.9,0.00,4.48,0.69,0.00
Hwang Hee-chan\Hwang-Hee-chan,FWMF,RB Leipzig,de Bundesliga,24,5.1,0.20,4.71,0.20,0.78
Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,eng Premier League,29,1.0,0.00,3.00,0.00,0.00
Dominique Heintz\Dominique-Heintz,DF,Freiburg,de Bundesliga,26,15.2,0.00,5.00,3.29,0.39
Dean Henderson\Dean-Henderson,GK,Manchester Utd,eng Premier League,23,12.5,0.00,2.16,0.40,0.00
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,eng Premier League,30,18.9,0.26,7.09,3.65,0.74
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,eng Premier League,28,15.8,0.00,4.87,0.38,0.32
Benjamin Henrichs\Benjamin-Henrichs,DFMF,RB Leipzig,de Bundesliga,23,6.0,0.17,9.67,1.00,2.17
Dalbert Henrique\Dalbert-Henrique,DF,Rennes,fr Ligue 1,26,4.1,0.24,8.54,0.98,2.68
Eduardo Henrique\Eduardo-Henrique,MF,Crotone,it Serie A,25,10.3,0.10,7.28,0.39,0.10
Luis Henrique\Luis-Henrique,DFFW,Marseille,fr Ligue 1,18,7.5,0.13,5.33,0.80,4.00
Christophe Hérelle\Christophe-Herelle,DF,Brest,fr Ligue 1,27,15.3,0.00,5.29,1.63,0.13
Jérôme Hergault\Jerome-Hergault,DF,Lorient,fr Ligue 1,34,18.1,0.00,4.86,0.72,1.60
Mario Hermoso\Mario-Hermoso,DF,Atlético Madrid,es La Liga,25,28.6,0.00,5.21,2.17,0.21
Aridane Hernández\Aridane-Hernandez,DF,Osasuna,es La Liga,31,22.5,0.04,4.62,1.38,0.09
Lucas Hernández\Lucas-Hernandez,DF,Bayern Munich,de Bundesliga,24,17.7,0.00,8.47,1.81,2.32
Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,eng Premier League,35,4.7,0.21,8.09,3.40,2.34
Theo Hernández\Theo-Hernandez,DF,Milan,it Serie A,22,32.6,0.09,7.12,0.89,1.47
Hernani\Hernani,MF,Parma,it Serie A,26,24.3,0.04,7.28,2.72,1.69
Ander Herrera\Ander-Herrera,MF,Paris S-G,fr Ligue 1,30,20.6,0.44,8.40,0.49,0.58
Héctor Herrera\Hector-Herrera,MF,Atlético Madrid,es La Liga,30,7.6,0.39,12.8,2.37,0.39
Sergio Herrera\Sergio-Herrera,GK,Osasuna,es La Liga,27,32.9,0.03,1.52,1.46,0.00
Yangel Herrera\Yangel-Herrera,MF,Granada,es La Liga,22,25.7,0.00,9.22,0.43,0.54
Patrick Herrmann\Patrick-Herrmann,FW,M'Gladbach,de Bundesliga,29,9.7,0.00,4.23,1.75,2.47
Pablo Hervías\Pablo-Hervias,DFMF,Valladolid,es La Liga,27,13.4,0.00,5.15,1.87,5.97
Përparim Hetemaj\Perparim-Hetemaj,MF,Benevento,it Serie A,33,24.6,0.12,5.77,0.73,1.42
Son Heung-min\Son-Heung-min,FW,Tottenham,eng Premier League,28,34.6,0.09,5.92,1.45,1.56
Aaron Hickey\Aaron-Hickey,DF,Bologna,it Serie A,18,8.4,0.00,5.95,0.60,0.71
Vitorino Hilton\Vitorino-Hilton,DF,Montpellier,fr Ligue 1,42,23.5,0.00,3.62,2.17,0.09
Martin Hinteregger\Martin-Hinteregger,DF,Eint Frankfurt,de Bundesliga,27,28.1,0.14,8.90,1.39,0.21
Marwin Hitz\Marwin-Hitz,GK,Dortmund,de Bundesliga,32,15.5,0.00,3.48,1.03,0.00
Wesley Hoedt\Wesley-Hoedt,DF,Lazio,it Serie A,26,10.6,0.00,4.15,4.15,0.00
Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,eng Premier League,18,6.4,0.00,5.78,0.94,2.34
Nicolas Höfler\Nicolas-Hofler,MF,Freiburg,de Bundesliga,30,30.3,0.07,8.55,0.69,0.36
Jonas Hofmann\Jonas-Hofmann,FWMF,M'Gladbach,de Bundesliga,28,20.2,0.10,7.08,4.06,2.13
Marco Höger\Marco-Hoger,DFMF,Köln,de Bundesliga,30,0.6,0.00,6.67,0.00,3.33
Rob Holding\Rob-Holding,DF,Arsenal,eng Premier League,24,28.4,0.00,4.44,2.11,0.11
Lucas Höler\Lucas-Holer,FWMF,Freiburg,de Bundesliga,26,23.2,0.00,8.53,0.39,1.08
Mason Holgate\Mason-Holgate,DF,Everton,eng Premier League,23,25.4,0.04,4.76,1.61,1.06
Jordan Holsgrove\Jordan-Holsgrove,MF,Celta Vigo,es La Liga,20,1.6,0.00,11.9,1.88,1.25
Franck Honorat\Franck-Honorat,MFFW,Brest,fr Ligue 1,23,27.3,0.18,5.49,2.53,4.14
Matthew Hoppe\Matthew-Hoppe,FW,Schalke 04,de Bundesliga,19,14.5,0.07,3.93,0.07,0.14
Jannes Horn\Jannes-Horn,DF,Köln,de Bundesliga,23,19.6,0.00,5.15,1.17,2.24
Timo Horn\Timo-Horn,GK,Köln,de Bundesliga,27,33.4,0.00,2.43,0.90,0.00
Fraser Hornby\Fraser-Hornby,FW,Reims,fr Ligue 1,20,0.4,0.00,5.00,0.00,0.00
Conor Hourihane\Conor-Hourihane,MF,Aston Villa,eng Premier League,29,2.5,0.00,4.40,2.80,4.80
