,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,1.59,91.2,2.80
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,0.65,84.3,0.90
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,0.00,70.0,10.0
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,4.39,174.4,2.33
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,10.0,180.0,10.0
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,1.28,72.4,2.10
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,0.74,87.2,1.11
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,0.00,62.0,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,0.67,106.4,0.87
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,0.08,131.0,0.15
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,0.86,24.3,2.34
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,0.41,37.4,1.23
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,0.00,76.5,0.59
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,0.00,33.5,0.03
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,0.20,115.0,0.24
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,0,0,0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,2.50,116.3,7.50
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,0.00,127.1,0.00
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,1.90,155.9,0.82
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,3.10,136.8,2.06
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,13.8,1.45,80.1,1.74
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,20.1,0.80,95.6,1.09
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,2.9,1.72,40.0,1.03
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,6.1,1.31,59.8,1.31
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,25.8,0.97,128.4,0.62
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,20.2,0.79,29.4,2.97
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,32.2,1.21,101.0,1.71
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,4.5,2.44,82.7,1.56
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,0.3,0.00,50.0,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,27.5,1.09,147.7,1.71
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,1.3,0.00,54.6,0.00
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,18.7,0.91,145.7,0.75
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,1.5,1.33,153.3,1.33
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,25.3,1.78,102.9,1.62
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,29.0,0.59,92.6,0.76
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,15.1,0.40,82.0,0.79
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,12.4,1.53,135.6,1.94
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,13.4,1.57,95.7,2.16
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,18.3,0.66,140.7,1.04
Bernard\Bernard,MFFW,Everton,eng Premier League,27,5.1,1.96,133.3,1.96
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,10.8,1.85,145.3,1.57
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,2.3,0.00,51.3,0.87
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38.0,0.00,29.6,0.00
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,2.2,1.36,54.1,0.45
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,8.3,0.00,51.7,0.00
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,0.1,0.00,100.0,0.00
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,28.9,0.17,86.4,0.73
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,6.8,0.29,133.4,1.76
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1.0,0.00,37.0,0.00
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,2.1,0.95,110.5,0.95
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,3.0,0.33,62.0,3.67
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,1.0,1.00,209.0,2.00
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,1.4,0.00,125.0,0.00
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,17.0,0.24,65.5,0.29
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,13.8,0.72,36.9,2.68
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,31.1,0.51,103.8,0.74
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,10.2,0.29,90.8,0.88
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,34.6,1.45,118.3,0.90
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,16.8,1.07,101.5,2.98
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,2.4,0.42,52.5,0.42
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,6.4,0.31,63.8,2.66
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,18.2,0.00,51.9,0.00
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,31.0,2.84,106.5,2.00
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,0.1,0.00,340.0,0.00
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,26.3,0.23,167.1,0.23
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,10.1,1.39,132.5,1.19
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,2.8,0.00,89.3,1.07
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,22.9,1.18,77.4,1.88
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,20.7,0.97,69.3,0.97
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,1.4,0.00,43.6,2.14
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,19.8,4.19,153.4,2.27
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,3.1,0.97,129.4,2.26
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,12.3,1.38,48.1,1.38
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,14.6,1.30,82.1,2.26
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,20.9,0.24,61.0,0.14
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,25.1,1.39,96.9,1.27
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,6.3,0.79,34.4,1.90
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,1.5,1.33,104.0,0.67
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,27.4,0.47,110.3,0.40
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,22.5,0.18,141.5,0.31
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1.0,0.00,71.0,0.00
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,0.1,0.00,60.0,10.0
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,23.1,0.17,46.5,0.09
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,36.8,0.22,128.1,0.24
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,30.2,2.22,105.0,3.44
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,19.3,1.35,109.3,1.66
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,7.2,2.22,165.3,1.94
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,8.1,4.94,128.8,1.48
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,6.7,1.04,57.6,2.39
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,31.3,1.92,139.4,2.08
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33.0,0.03,26.1,0.00
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,9.1,1.54,122.4,2.09
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,5.9,1.53,88.3,0.68
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,28.4,0.49,81.8,0.81
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,0.1,0.00,410.0,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,28.5,1.40,82.9,1.79
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,17.2,0.12,132.3,0.00
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,33.8,0.18,31.2,0.27
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,29.9,2.17,48.3,4.85
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,7.2,0.69,78.8,2.22
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,0.7,2.86,98.6,8.57
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,1.3,3.08,60.8,3.08
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,14.0,0.64,140.6,0.57
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,11.7,1.28,74.7,1.37
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,13.1,0.84,44.0,1.83
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,16.6,1.87,97.0,2.17
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,10.1,0.50,63.7,1.39
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,10.7,0.56,169.0,0.28
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,0.2,0.00,30.0,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20.0,0.15,52.0,0.00
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1.0,0.00,8.00,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,20.2,1.29,127.9,2.57
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,32.6,0.18,114.1,0.28
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,0.0,1,3,0
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,12.5,0.72,31.2,1.76
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,13.6,0.07,136.4,0.00
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,6.3,0.32,27.9,3.17
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,14.7,0.34,23.9,0.68
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,0.0,0,0,0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,37.9,0.42,117.3,0.13
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,30.8,0.23,157.0,0.10
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,15.9,0.57,84.0,0.31
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,31.3,0.45,42.0,0.70
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,28.7,0.38,140.4,0.70
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,18.0,0.83,122.9,0.44
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,0.3,0.00,16.7,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,5.3,3.21,116.6,3.40
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,29.5,1.08,59.4,0.44
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,1.0,1.00,28.0,5.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,0.1,0.00,280.0,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,25.2,2.86,136.3,2.34
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,7.4,1.22,117.8,1.49
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,11.2,0.27,65.0,0.36
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,0.2,0.00,0.00,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,18.1,0.61,31.2,3.48
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8.0,0.00,41.5,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,10.9,1.19,95.1,2.57
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,9.5,0.21,133.7,0.63
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,12.3,0.08,88.2,0.00
Burgui\Burgui,MF,Alavés,es La Liga,26,0.2,0.00,175.0,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,15.3,1.50,81.8,2.88
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,0.2,5.00,5.00,5.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,14.1,1.28,48.8,3.12
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,18.5,0.00,35.0,0.05
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,22.9,0.74,104.5,1.00
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,0.0,0,0,0
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,14.6,0.75,79.9,0.55
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,13.3,0.83,133.2,1.13
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,28.0,0.46,117.7,0.64
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1.0,0.00,42.0,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1.0,0.00,45.0,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,0.2,0.00,85.0,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1.0,0.00,33.0,0.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,14.7,0.20,49.4,0.20
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1.0,0.00,20.0,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,10.5,3.62,106.9,2.10
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,24.9,0.08,86.7,0.24
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,31.1,0.90,103.1,0.68
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,23.0,0.96,116.3,2.00
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20.0,0.05,53.0,0.15
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,25.0,0.28,62.7,0.56
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,10.3,1.26,43.6,2.23
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,4.0,0.00,25.0,0.00
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,8.4,1.43,151.1,1.31
Cala\Cala,DF,Cádiz,es La Liga,30,25.2,0.20,44.2,0.20
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,it Serie A,24,0.2,0.00,0.00,0.00
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,0.2,5.00,185.0,0.00
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,29.4,0.58,134.3,0.68
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,0.7,0.00,182.9,4.29
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,1.2,0.00,53.3,0.00
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,17.5,0.00,141.0,0.06
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,31.3,0.10,107.7,0.22
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,29.0,1.21,130.6,1.90
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,3.3,0.91,66.4,0.91
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,2.0,0.50,42.0,0.50
Daniel Caligiuri\Daniel-Caligiuri,MFDF,Augsburg,de Bundesliga,32,29.6,2.13,101.6,2.26
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,7.4,0.68,73.5,0.81
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,17.2,1.22,43.4,2.67
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,31.9,0.63,36.0,3.54
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,19.8,0.10,74.0,0.15
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,0.2,5.00,30.0,0.00
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,36.6,0.90,109.5,0.71
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,26.7,1.84,171.1,1.65
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,8.3,2.89,147.3,1.45
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,23.7,1.56,202.2,0.46
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,27.8,1.29,176.8,1.47
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,25.5,1.96,166.3,0.98
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,27.8,1.12,180.2,1.55
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,2.6,1.15,38.5,4.23
Ander Capa\Ander-Capa,DF,Athletic Club,es La Liga,28,23.7,1.14,133.4,0.76
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,fr Ligue 1,33,22.8,1.14,96.1,1.62
Étienne Capoue\Etienne-Capoue,MF,Villarreal,es La Liga,32,13.2,0.83,81.9,0.68
Elio Capradossi\Elio-Capradossi,DF,Spezia,it Serie A,24,1.0,0.00,57.0,1.00
Gianluca Caprari\Gianluca-Caprari,MFFW,Benevento,it Serie A,27,20.7,2.22,111.4,2.32
Francesco Caputo\Francesco-Caputo,FW,Sassuolo,it Serie A,32,18.9,0.26,25.0,1.96
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,fr Ligue 1,20,19.6,1.79,104.4,1.12
Andrea Carboni\Andrea-Carboni,DF,Cagliari,it Serie A,19,12.1,0.41,118.2,0.17
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,es La Liga,27,28.7,1.15,55.6,0.42
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8.0,0.00,44.3,0.00
Irvin Cardona\Irvin-Cardona,FWMF,Brest,fr Ligue 1,22,22.5,0.49,56.6,3.16
Marc Cardona\Marc-Cardona,FWMF,Osasuna,es La Liga,25,0.6,1.67,48.3,0.00
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,eng Premier League,20,3.9,3.33,175.1,3.08
Diego Carlos\Diego-Carlos,DF,Sevilla,es La Liga,27,31.0,0.32,73.9,0.13
Juan Carlos\Juan-Carlos,MFFW,Huesca,es La Liga,29,3.2,1.56,171.3,2.81
Lionel Carole\Lionel-Carole,DF,Strasbourg,fr Ligue 1,29,14.9,0.34,134.8,0.74
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,es La Liga,26,24.2,2.56,165.3,1.82
Sergio Carreira\Sergio-Carreira,DF,Celta Vigo,es La Liga,19,2.9,0.34,70.7,0.69
Guido Carrillo\Guido-Carrillo,FW,Elche,es La Liga,29,11.1,0.45,30.9,2.61
Andy Carroll\Andy-Carroll,FW,Newcastle Utd,eng Premier League,31,4.4,0.45,29.5,2.95
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1.0,0.00,14.0,0.00
Dani Carvajal\Dani-Carvajal,DF,Real Madrid,es La Liga,28,10.6,0.94,136.2,1.13
Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,eng Premier League,17,2.8,2.14,77.1,2.14
William Carvalho\William-Carvalho,MF,Betis,es La Liga,28,13.6,1.18,106.3,0.74
Casemiro\Casemiro,MF,Real Madrid,es La Liga,28,32.2,0.50,92.6,0.68
Matty Cash\Matty-Cash,DF,Aston Villa,eng Premier League,22,26.4,0.38,86.7,0.61
Kiko Casilla\Kiko-Casilla,GK,Leeds United,eng Premier League,33,3.0,0.00,25.3,0.00
Giuseppe Caso\Giuseppe-Caso,MF,Genoa,it Serie A,21,0.6,1.67,176.7,5.00
Moreto Cassamã\Moreto-Cassama,MF,Reims,fr Ligue 1,22,22.6,0.97,112.9,0.80
Francesco Cassata\Francesco-Cassata,DFMF,Genoa,it Serie A,23,2.5,0.80,86.8,0.80
Timothy Castagne\Timothy-Castagne,DF,Leicester City,eng Premier League,24,26.1,0.57,99.8,0.88
Koen Casteels\Koen-Casteels,GK,Wolfsburg,de Bundesliga,28,32.0,0.06,51.6,0.00
Jean-Charles Castelletto\Jean-Charles-Castelletto,DF,Nantes,fr Ligue 1,25,21.6,0.23,53.3,0.09
Samu Castillejo\Samu-Castillejo,FW,Milan,it Serie A,25,13.1,1.83,125.0,1.45
Gonzalo Castro\Gonzalo-Castro,MFFW,Stuttgart,de Bundesliga,33,19.2,1.41,116.2,1.77
Jonny Castro\Jonny-Castro,DF,Wolves,eng Premier League,26,5.5,0.73,100.4,0.73
Gaetano Castrovilli\Gaetano-Castrovilli,MF,Fiorentina,it Serie A,23,25.9,1.12,117.2,1.89
Danilo Cataldi\Danilo-Cataldi,MF,Lazio,it Serie A,25,6.3,1.27,128.4,0.79
Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,eng Premier League,26,27.5,1.89,89.6,3.35
Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,eng Premier League,33,15.3,0.39,13.5,1.83
Dani Ceballos\Dani-Ceballos,MF,Arsenal,eng Premier League,23,17.9,1.45,207.8,0.73
Federico Ceccherini\Federico-Ceccherini,DF,Hellas Verona,it Serie A,28,19.3,0.57,91.3,0.36
Federico Ceccherini\Federico-Ceccherini,DF,Fiorentina,it Serie A,28,3.0,0.00,83.7,0.33
Zeki Çelik\Zeki-Celik,DF,Lille,fr Ligue 1,23,26.5,1.06,131.5,0.91
Bersant Celina\Bersant-Celina,MFFW,Dijon,fr Ligue 1,23,25.5,1.45,98.7,1.41
Fabien Centonze\Fabien-Centonze,DF,Metz,fr Ligue 1,24,35.8,1.98,159.4,1.09
Luca Ceppitelli\Luca-Ceppitelli,DF,Cagliari,it Serie A,30,16.3,0.12,97.4,0.37
Alberto Cerri\Alberto-Cerri,FWMF,Cagliari,it Serie A,24,4.1,1.95,47.3,4.88
Sava Cestic\Sava-Cestic,DF,Köln,de Bundesliga,19,10.0,0.50,68.0,0.50
Julian Chabot\Julian-Chabot,DF,Spezia,it Serie A,22,18.4,0.71,136.6,0.38
Nassim Chadli\Nassim-Chadli,FWMF,Nîmes,fr Ligue 1,19,0.3,3.33,200.0,3.33
Fouad Chafik\Fouad-Chafik,DF,Dijon,fr Ligue 1,33,18.0,0.89,130.8,0.56
Mehdi Chahiri\Mehdi-Chahiri,FWMF,Strasbourg,fr Ligue 1,24,8.9,3.26,88.3,2.81
Sofian Chakla\Sofian-Chakla,DF,Villarreal,es La Liga,26,0.1,0.00,20.0,0.00
Sofian Chakla\Sofian-Chakla,DF,Getafe,es La Liga,26,10.0,0.00,40.5,0.00
Aníbal Chalá\Anibal-Chala,DF,Dijon,fr Ligue 1,24,8.3,1.20,116.5,1.08
Trevoh Chalobah\Trevoh-Chalobah,DFMF,Lorient,fr Ligue 1,21,24.9,1.20,98.7,0.92
Calum Chambers\Calum-Chambers,DF,Arsenal,eng Premier League,25,8.4,0.36,114.6,0.71
Timothy Chandler\Timothy-Chandler,DF,Eint Frankfurt,de Bundesliga,30,4.8,0.63,93.5,0.83
Kwon Chang-hoon\Kwon-Chang-hoon,MFFW,Freiburg,de Bundesliga,26,2.4,2.92,55.0,1.25
Gaëtan Charbonnier\Gaetan-Charbonnier,MFFW,Brest,fr Ligue 1,31,17.4,1.95,47.8,2.47
Brendan Chardonnet\Brendan-Chardonnet,DF,Brest,fr Ligue 1,25,30.2,0.13,123.5,0.17
Xavier Chavalerin\Xavier-Chavalerin,MF,Reims,fr Ligue 1,29,28.3,0.60,49.2,0.57
Pape Cheikh Diop\Pape-Cheikh-Diop,MF,Dijon,fr Ligue 1,22,12.1,0.83,122.8,0.66
Chema\Chema,DFMF,Getafe,es La Liga,28,6.2,0.00,31.3,0.00
Rayan Cherki\Rayan-Cherki,FWMF,Lyon,fr Ligue 1,16,7.8,5.00,237.7,2.56
Denis Cheryshev\Denis-Cheryshev,MF,Valencia,es La Liga,29,12.2,0.66,83.2,1.80
Giorgio Chiellini\Giorgio-Chiellini,DF,Juventus,it Serie A,35,15.4,0.19,145.2,0.00
Federico Chiesa\Federico-Chiesa,DF,Fiorentina,it Serie A,22,2.7,2.96,154.1,1.85
