,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Theodor Gebre Selassie\Theodor-Gebre-Selassie,DF,Werder Bremen,de Bundesliga,33,33.7,40.0,0.07,0.05
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,de Bundesliga,17,0.3,,,0.00
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,de Bundesliga,22,7.3,42.9,0.04,0.10
Christian Gentner\Christian-Gentner,MF,Union Berlin,de Bundesliga,34,11.5,0.0,0.05,-0.03
Yannick Gerhardt\Yannick-Gerhardt,MFFW,Wolfsburg,de Bundesliga,26,21.5,35.5,0.13,-0.09
Valère Germain\Valere-Germain,FW,Marseille,fr Ligue 1,30,9.5,50.0,0.22,0.13
Gervinho\Gervinho,FW,Parma,it Serie A,33,22.5,37.5,0.13,0.04
Willem Geubbels\Willem-Geubbels,FWMF,Monaco,fr Ligue 1,18,3.3,33.3,0.17,0.00
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,de Bundesliga,29,0.5,0.0,0.17,-0.40
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,eng Premier League,25,17.9,43.3,0.08,0.11
Paolo Ghiglione\Paolo-Ghiglione,DFMF,Genoa,it Serie A,23,15.1,20.0,0.06,-0.04
Faouzi Ghoulam\Faouzi-Ghoulam,DFFW,Napoli,it Serie A,29,3.2,0.0,0.03,-0.03
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,eng Premier League,30,9.0,0.0,0.05,0.00
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,eng Premier League,20,4.6,33.3,0.11,0.00
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,de Bundesliga,28,4.8,0.0,0.02,-0.02
Rafał Gikiewicz\Rafal-Gikiewicz,GK,Augsburg,de Bundesliga,32,34.0,,,0.00
David Gil\David-Gil,GK,Cádiz,es La Liga,26,4.0,,,0.00
Billy Gilmour\Billy-Gilmour,MF,Chelsea,eng Premier League,19,2.9,0.0,0.04,0.00
Álvaro Giménez\Alvaro-Gimenez,FWMF,Cádiz,es La Liga,29,4.5,40.0,0.28,0.13
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,de Bundesliga,29,2.4,0.0,0.11,-0.17
Matthias Ginter\Matthias-Ginter,DF,M'Gladbach,de Bundesliga,26,34.0,36.4,0.09,-0.00
Andrei Girotto\Andrei-Girotto,DFMF,Nantes,fr Ligue 1,28,29.6,24.1,0.04,-0.01
Olivier Giroud\Olivier-Giroud,FW,Chelsea,eng Premier League,33,8.3,34.5,0.17,-0.10
Robert Glatzel\Robert-Glatzel,FW,Mainz 05,de Bundesliga,26,4.0,53.8,0.23,-0.23
Kamil Glik\Kamil-Glik,DF,Benevento,it Serie A,32,35.6,37.9,0.11,-0.04
Serge Gnabry\Serge-Gnabry,FWMF,Bayern Munich,de Bundesliga,25,18.3,45.8,0.13,0.11
Ben Godfrey\Ben-Godfrey,DF,Everton,eng Premier League,22,29.8,14.3,0.06,-0.03
Diego Godín\Diego-Godin,DF,Cagliari,it Serie A,34,27.9,36.4,0.07,0.01
Akaki Gogia\Akaki-Gogia,FWMF,Union Berlin,de Bundesliga,28,1.6,100.0,0.07,-0.06
Amer Gojak\Amer-Gojak,MFFW,Torino,it Serie A,23,5.3,37.5,0.11,0.04
Edoardo Goldaniga\Edoardo-Goldaniga,DF,Genoa,it Serie A,26,20.6,0.0,0.06,-0.02
Vladimir Golemić\Vladimir-Golemic,DF,Crotone,it Serie A,29,26.0,33.3,0.08,0.03
Pierluigi Gollini\Pierluigi-Gollini,GK,Atalanta,it Serie A,25,24.0,,,0.00
Aleksandr Golovin\Aleksandr-Golovin,MFFW,Monaco,fr Ligue 1,24,11.9,44.4,0.10,0.18
Tomislav Gomelt\Tomislav-Gomelt,MF,Crotone,it Serie A,25,0.2,,,0.00
André Gomes\Andre-Gomes,MF,Everton,eng Premier League,27,17.4,21.4,0.03,-0.03
Dani Gómez\Dani-Gomez,FW,Levante,es La Liga,22,18.5,25.8,0.10,-0.06
Ibai Gómez\Ibai-Gomez,MF,Athletic Club,es La Liga,30,4.7,0.0,0.04,-0.04
Joe Gomez\Joe-Gomez,DF,Liverpool,eng Premier League,23,6.6,,,0.00
Maxi Gómez\Maxi-Gomez,FW,Valencia,es La Liga,23,29.9,44.4,0.13,0.01
Moi Gómez\Moi-Gomez,MFFW,Villarreal,es La Liga,26,28.5,41.7,0.15,-0.01
Papu Gómez\Papu-Gomez,FWMF,Atalanta,it Serie A,32,7.4,41.4,0.08,0.24
Papu Gómez\Papu-Gomez,MFFW,Sevilla,es La Liga,32,10.2,55.6,0.07,0.18
Sergi Gómez\Sergi-Gomez,DF,Sevilla,es La Liga,28,8.0,0.0,0.03,0.00
Sergio Gómez\Sergio-Gomez,MFFW,Huesca,es La Liga,19,8.8,20.0,0.06,-0.07
Alfred Gomis\Alfred-Gomis,GK,Dijon,fr Ligue 1,26,5.0,,,0.00
Alfred Gomis\Alfred-Gomis,GK,Rennes,fr Ligue 1,26,22.0,,,0.00
Maxime Gonalons\Maxime-Gonalons,MF,Granada,es La Liga,31,16.4,33.3,0.05,-0.01
Vagner Gonçalves\Vagner-Goncalves,FWMF,Metz,fr Ligue 1,24,10.7,21.1,0.15,-0.03
Álvaro González\Alvaro-Gonzalez,DF,Marseille,fr Ligue 1,30,31.5,18.8,0.06,0.03
Bruno González\Bruno-Gonzalez,DF,Valladolid,es La Liga,30,25.1,40.0,0.06,0.03
Diego González\Diego-Gonzalez,DF,Elche,es La Liga,25,14.2,33.3,0.08,0.04
Nicolás González\Nicolas-Gonzalez,FWDF,Stuttgart,de Bundesliga,22,10.4,23.9,0.11,-0.20
Sergio González\Sergio-Gonzalez,MFDF,Cádiz,es La Liga,23,1.0,0.0,0.02,0.00
Urko González\Urko-Gonzalez,MF,Real Sociedad,es La Liga,19,0.5,,,0.00
Anthony Gordon\Anthony-Gordon,FWMF,Everton,eng Premier League,19,1.0,,,0.00
Leon Goretzka\Leon-Goretzka,MF,Bayern Munich,de Bundesliga,25,18.9,31.7,0.10,0.05
Andoni Gorosabel\Andoni-Gorosabel,DF,Real Sociedad,es La Liga,23,26.5,22.2,0.08,-0.02
Robin Gosens\Robin-Gosens,DF,Atalanta,it Serie A,26,28.0,40.0,0.14,0.11
Amine Gouiri\Amine-Gouiri,FWMF,Nice,fr Ligue 1,20,30.5,38.7,0.15,-0.07
Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,DF,Augsburg,de Bundesliga,29,31.5,28.6,0.06,0.02
Jonathan Gradit\Jonathan-Gradit,DF,Lens,fr Ligue 1,27,31.4,0.0,0.02,0.00
Karlan Grant\Karlan-Grant,FWMF,West Brom,eng Premier League,22,12.5,56.3,0.13,-0.09
Alberto Grassi\Alberto-Grassi,MFDF,Parma,it Serie A,25,13.1,27.3,0.06,-0.05
Andrew Gravillon\Andrew-Gravillon,DF,Lorient,fr Ligue 1,22,25.2,28.6,0.07,0.00
Demarai Gray\Demarai-Gray,FW,Leicester City,eng Premier League,24,0.2,0.0,0.09,-0.50
Demarai Gray\Demarai-Gray,FW,Leverkusen,de Bundesliga,24,4.9,46.7,0.08,-0.04
Adrian Grbić\Adrian-Grbic,FW,Lorient,fr Ligue 1,23,10.7,35.5,0.11,-0.16
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,eng Premier League,24,24.3,34.7,0.09,0.07
Etienne Green\Etienne-Green,GK,Saint-Étienne,fr Ligue 1,20,8.0,,,0.00
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,eng Premier League,18,20.2,34.3,0.11,-0.02
Michael Gregoritsch\Michael-Gregoritsch,FWMF,Augsburg,de Bundesliga,26,9.3,23.1,0.08,0.00
Clément Grenier\Clement-Grenier,MF,Rennes,fr Ligue 1,29,12.0,30.8,0.07,0.12
Sebastian Griesbeck\Sebastian-Griesbeck,MF,Union Berlin,de Bundesliga,29,9.9,25.0,0.11,-0.04
Antoine Griezmann\Antoine-Griezmann,FWMF,Barcelona,es La Liga,29,28.9,44.1,0.18,-0.03
Vincenzo Grifo\Vincenzo-Grifo,MFFW,Freiburg,de Bundesliga,27,25.7,43.6,0.09,0.04
Lennart Grill\Lennart-Grill,GK,Leverkusen,de Bundesliga,21,4.0,,,0.00
Florian Grillitsch\Florian-Grillitsch,MFDF,Hoffenheim,de Bundesliga,24,20.9,45.0,0.10,0.00
Christian Groß\Christian-Gross,MFDF,Werder Bremen,de Bundesliga,31,16.3,14.3,0.06,-0.02
Pascal Groß\Pascal-Gross,MFDF,Brighton,eng Premier League,29,27.6,14.3,0.09,-0.09
Kamil Grosicki\Kamil-Grosicki,FWMF,West Brom,eng Premier League,32,1.6,0.0,0.03,-0.06
Ilia Gruev\Ilia-Gruev,FW,Werder Bremen,de Bundesliga,20,0.0,,,0.0
Carlos Gruezo\Carlos-Gruezo,MF,Augsburg,de Bundesliga,25,23.2,0.0,0.02,-0.01
Vicente Guaita\Vicente-Guaita,GK,Crystal Palace,eng Premier League,33,37.0,,,0.00
Andrés Guardado\Andres-Guardado,MF,Betis,es La Liga,33,14.6,45.5,0.03,0.04
Sergi Guardiola\Sergi-Guardiola,FW,Valladolid,es La Liga,29,19.9,23.5,0.10,-0.20
Nemanja Gudelj\Nemanja-Gudelj,MFDF,Sevilla,es La Liga,28,11.6,12.5,0.02,-0.02
Gonçalo Guedes\Goncalo-Guedes,MFFW,Valencia,es La Liga,23,25.4,29.4,0.07,0.06
Mattéo Guendouzi\Matteo-Guendouzi,MF,Hertha BSC,de Bundesliga,21,20.2,52.9,0.06,0.05
Raphaël Guerreiro\Raphael-Guerreiro,DF,Dortmund,de Bundesliga,26,24.6,40.5,0.10,0.05
Evann Guessand\Evann-Guessand,FW,Nice,fr Ligue 1,19,0.3,100.0,0.09,-0.33
Kelyan Guessoum\Kelyan-Guessoum,DF,Nîmes,fr Ligue 1,21,12.5,40.0,0.04,-0.02
Ander Guevara\Ander-Guevara,MF,Real Sociedad,es La Liga,23,23.1,22.2,0.06,0.02
Lamine Gueye\Lamine-Gueye,FWMF,Metz,fr Ligue 1,22,16.2,34.9,0.11,-0.12
Pape Gueye\Pape-Gueye,MF,Marseille,fr Ligue 1,21,22.9,23.5,0.08,0.03
John Guidetti\John-Guidetti,FWMF,Alavés,es La Liga,28,2.3,20.0,0.22,-0.04
Josuha Guilavogui\Josuha-Guilavogui,MFDF,Wolfsburg,de Bundesliga,29,8.3,0.0,0.07,-0.04
Frederic Guilbert\Frederic-Guilbert,DF,Strasbourg,fr Ligue 1,25,12.4,26.7,0.04,0.03
Hugo Guillamón\Hugo-Guillamon,DF,Valencia,es La Liga,20,22.1,12.5,0.06,0.02
Bruno Guimarães\Bruno-Guimaraes,MF,Lyon,fr Ligue 1,22,19.5,45.8,0.07,0.03
Sehrou Guirassy\Sehrou-Guirassy,FW,Rennes,fr Ligue 1,24,19.6,45.3,0.14,0.10
Péter Gulácsi\Peter-Gulacsi,GK,RB Leipzig,de Bundesliga,30,33.0,,,0.00
Manuel Gulde\Manuel-Gulde,DF,Freiburg,de Bundesliga,29,21.7,55.6,0.12,0.04
Robert Gumny\Robert-Gumny,DF,Augsburg,de Bundesliga,22,15.3,42.9,0.11,0.01
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,eng Premier League,29,22.5,40.4,0.14,0.18
Christian Günter\Christian-Gunter,DF,Freiburg,de Bundesliga,27,34.0,26.9,0.04,0.06
Koray Günter\Koray-Gunter,DF,Hellas Verona,it Serie A,25,19.6,33.3,0.05,-0.02
Jon Guridi\Jon-Guridi,MF,Real Sociedad,es La Liga,25,9.2,25.0,0.09,-0.09
Malo Gusto\Malo-Gusto,DFMF,Lyon,fr Ligue 1,17,0.0,,,0.0
Raúl Guti\Raul-Guti,MF,Elche,es La Liga,23,31.8,22.2,0.06,0.05
Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,DF,Cádiz,es La Liga,29,20.3,66.7,0.25,0.02
Miguel Gutiérrez\Miguel-Gutierrez,DF,Real Madrid,es La Liga,19,3.5,,,0.00
Emmanuel Gyasi\Emmanuel-Gyasi,FW,Spezia,it Serie A,26,31.7,53.3,0.22,-0.08
Erling Haaland\Erling-Haaland,FW,Dortmund,de Bundesliga,20,26.7,52.2,0.23,0.12
Janik Haberer\Janik-Haberer,MFFW,Freiburg,de Bundesliga,26,5.4,30.0,0.11,-0.20
Alexander Hack\Alexander-Hack,DF,Mainz 05,de Bundesliga,26,15.2,25.0,0.04,0.05
Antwoine Hackford\Antwoine-Hackford,FWDF,Sheffield Utd,eng Premier League,16,0.1,0.0,0.14,-1.00
Munir El Haddadi\Munir-El-Haddadi,FW,Sevilla,es La Liga,24,9.4,40.6,0.11,0.05
André Hahn\Andre-Hahn,FWMF,Augsburg,de Bundesliga,29,22.6,34.1,0.13,0.12
Amadou Haidara\Amadou-Haidara,MFDF,RB Leipzig,de Bundesliga,22,21.2,31.7,0.11,-0.07
Massadio Haïdara\Massadio-Haidara,DF,Lens,fr Ligue 1,27,23.7,30.8,0.18,-0.01
Achraf Hakimi\Achraf-Hakimi,DF,Inter,it Serie A,21,29.6,39.5,0.12,0.08
Sébastien Haller\Sebastien-Haller,FW,West Ham,eng Premier League,26,10.4,44.0,0.12,0.01
Marcel Halstenberg\Marcel-Halstenberg,DF,RB Leipzig,de Bundesliga,28,18.3,30.8,0.09,0.01
Pierre-Yves Hamel\Pierre-Yves-Hamel,FW,Lorient,fr Ligue 1,26,9.4,37.5,0.15,-0.03
Romain Hamouma\Romain-Hamouma,FW,Saint-Étienne,fr Ligue 1,33,19.7,50.0,0.13,0.08
Samir Handanović\Samir-Handanovic,GK,Inter,it Serie A,36,36.0,,,0.00
Lukáš Haraslín\Lukas-Haraslin,FWMF,Sassuolo,it Serie A,24,3.7,41.7,0.08,-0.24
Amine Harit\Amine-Harit,MFFW,Schalke 04,de Bundesliga,23,23.3,22.7,0.06,0.03
Rekeem Harper\Rekeem-Harper,MF,West Brom,eng Premier League,20,0.4,100.0,0.04,0.00
Jack Harrison\Jack-Harrison,MF,Leeds United,eng Premier League,23,31.6,40.4,0.14,0.04
Marcel Hartel\Marcel-Hartel,MF,Arminia,de Bundesliga,24,18.7,28.6,0.06,-0.06
Makoto Hasebe\Makoto-Hasebe,DFMF,Eint Frankfurt,de Bundesliga,36,25.4,50.0,0.09,-0.01
Hans Hateboer\Hans-Hateboer,DF,Atalanta,it Serie A,26,19.6,48.1,0.12,-0.06
Kortney Hause\Kortney-Hause,DF,Aston Villa,eng Premier League,25,7.0,20.0,0.24,-0.03
Kai Havertz\Kai-Havertz,MFFW,Chelsea,eng Premier League,21,16.9,42.9,0.18,-0.14
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,eng Premier League,25,21.6,15.4,0.04,-0.02
Eden Hazard\Eden-Hazard,FWMF,Real Madrid,es La Liga,29,5.9,50.0,0.16,0.24
Thorgan Hazard\Thorgan-Hazard,FWMF,Dortmund,de Bundesliga,27,7.3,44.4,0.06,0.05
Jonas Hector\Jonas-Hector,MF,Köln,de Bundesliga,30,14.3,29.6,0.13,-0.03
Michael Hector\Michael-Hector,DF,Fulham,eng Premier League,28,2.9,0.0,0.09,-0.03
Hwang Hee-chan\Hwang-Hee-chan,FWMF,RB Leipzig,de Bundesliga,24,5.1,60.0,0.16,-0.31
Ahmed Hegazi\Ahmed-Hegazi,DF,West Brom,eng Premier League,29,1.0,,,0.00
Dominique Heintz\Dominique-Heintz,DF,Freiburg,de Bundesliga,26,15.2,25.0,0.06,-0.02
Dean Henderson\Dean-Henderson,GK,Manchester Utd,eng Premier League,23,12.5,,,0.00
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,eng Premier League,30,18.9,28.6,0.12,-0.04
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,eng Premier League,28,15.8,18.2,0.10,0.06
Benjamin Henrichs\Benjamin-Henrichs,DFMF,RB Leipzig,de Bundesliga,23,6.0,40.0,0.05,-0.03
Dalbert Henrique\Dalbert-Henrique,DF,Rennes,fr Ligue 1,26,4.1,0.0,0.04,-0.02
Eduardo Henrique\Eduardo-Henrique,MF,Crotone,it Serie A,25,10.3,12.5,0.15,-0.02
Luis Henrique\Luis-Henrique,DFFW,Marseille,fr Ligue 1,18,7.5,66.7,0.02,-0.01
Christophe Hérelle\Christophe-Herelle,DF,Brest,fr Ligue 1,27,15.3,0.0,0.09,-0.04
Jérôme Hergault\Jerome-Hergault,DF,Lorient,fr Ligue 1,34,18.1,50.0,0.06,0.09
Mario Hermoso\Mario-Hermoso,DF,Atlético Madrid,es La Liga,25,28.6,26.3,0.06,-0.01
Aridane Hernández\Aridane-Hernandez,DF,Osasuna,es La Liga,31,22.5,0.0,0.06,-0.00
Lucas Hernández\Lucas-Hernandez,DF,Bayern Munich,de Bundesliga,24,17.7,20.0,0.16,-0.05
Pablo Hernández\Pablo-Hernandez,MFFW,Leeds United,eng Premier League,35,4.7,20.0,0.08,-0.26
Theo Hernández\Theo-Hernandez,DF,Milan,it Serie A,22,32.6,27.7,0.08,0.10
Hernani\Hernani,MF,Parma,it Serie A,26,24.3,25.0,0.08,0.15
Ander Herrera\Ander-Herrera,MF,Paris S-G,fr Ligue 1,30,20.6,19.0,0.06,-0.01
Héctor Herrera\Hector-Herrera,MF,Atlético Madrid,es La Liga,30,7.6,14.3,0.03,-0.03
Sergio Herrera\Sergio-Herrera,GK,Osasuna,es La Liga,27,32.9,,,0.00
Yangel Herrera\Yangel-Herrera,MF,Granada,es La Liga,22,25.7,22.6,0.06,0.04
Patrick Herrmann\Patrick-Herrmann,FW,M'Gladbach,de Bundesliga,29,9.7,42.1,0.14,-0.27
Pablo Hervías\Pablo-Hervias,DFMF,Valladolid,es La Liga,27,13.4,50.0,0.03,-0.04
Përparim Hetemaj\Perparim-Hetemaj,MF,Benevento,it Serie A,33,24.6,25.0,0.07,-0.03
Son Heung-min\Son-Heung-min,FW,Tottenham,eng Premier League,28,34.6,51.5,0.14,0.19
Aaron Hickey\Aaron-Hickey,DF,Bologna,it Serie A,18,8.4,33.3,0.03,-0.01
Vitorino Hilton\Vitorino-Hilton,DF,Montpellier,fr Ligue 1,42,23.5,27.3,0.10,-0.05
Martin Hinteregger\Martin-Hinteregger,DF,Eint Frankfurt,de Bundesliga,27,28.1,25.0,0.08,0.00
Marwin Hitz\Marwin-Hitz,GK,Dortmund,de Bundesliga,32,15.5,,,0.00
Wesley Hoedt\Wesley-Hoedt,DF,Lazio,it Serie A,26,10.6,0.0,0.04,-0.01
Ki-Jana Hoever\Ki-Jana-Hoever,DF,Wolves,eng Premier League,18,6.4,0.0,0.09,-0.02
Nicolas Höfler\Nicolas-Hofler,MF,Freiburg,de Bundesliga,30,30.3,42.1,0.08,-0.02
Jonas Hofmann\Jonas-Hofmann,FWMF,M'Gladbach,de Bundesliga,28,20.2,34.8,0.12,0.05
Marco Höger\Marco-Hoger,DFMF,Köln,de Bundesliga,30,0.6,,,0.00
Rob Holding\Rob-Holding,DF,Arsenal,eng Premier League,24,28.4,14.3,0.08,-0.04
Lucas Höler\Lucas-Holer,FWMF,Freiburg,de Bundesliga,26,23.2,31.7,0.19,-0.15
Mason Holgate\Mason-Holgate,DF,Everton,eng Premier League,23,25.4,60.0,0.16,0.01
Jordan Holsgrove\Jordan-Holsgrove,MF,Celta Vigo,es La Liga,20,1.6,0.0,0.08,-0.06
Franck Honorat\Franck-Honorat,MFFW,Brest,fr Ligue 1,23,27.3,57.1,0.09,0.16
Matthew Hoppe\Matthew-Hoppe,FW,Schalke 04,de Bundesliga,19,14.5,40.9,0.16,0.18
Jannes Horn\Jannes-Horn,DF,Köln,de Bundesliga,23,19.6,16.7,0.03,-0.01
Timo Horn\Timo-Horn,GK,Köln,de Bundesliga,27,33.4,,,0.00
Fraser Hornby\Fraser-Hornby,FW,Reims,fr Ligue 1,20,0.4,50.0,0.07,-0.25
Conor Hourihane\Conor-Hourihane,MF,Aston Villa,eng Premier League,29,2.5,40.0,0.10,0.20
Lukáš Hrádecký\Lukas-Hradecky,GK,Leverkusen,de Bundesliga,30,28.5,,,0.00
Ajdin Hrustic\Ajdin-Hrustic,MFFW,Eint Frankfurt,de Bundesliga,24,3.0,57.1,0.04,0.23
Florian Hübner\Florian-Hubner,DF,Union Berlin,de Bundesliga,29,5.8,33.3,0.03,-0.02
Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,eng Premier League,19,11.8,26.1,0.06,0.05
Niall Huggins\Niall-Huggins,DF,Leeds United,eng Premier League,19,0.4,,,0.00
Mats Hummels\Mats-Hummels,DF,Dortmund,de Bundesliga,31,31.3,51.7,0.12,0.05
Adrien Hunou\Adrien-Hunou,FWMF,Rennes,fr Ligue 1,26,6.5,50.0,0.21,-0.05
Klaas-Jan Huntelaar\Klaas-Jan-Huntelaar,FW,Schalke 04,de Bundesliga,36,6.5,41.7,0.21,-0.22
Elseid Hysaj\Elseid-Hysaj,DF,Napoli,it Serie A,26,19.6,0.0,0.03,-0.01
Pierre Højbjerg\Pierre-Hojbjerg,MF,Tottenham,eng Premier League,24,38.0,50.0,0.08,0.02
Simone Iacoponi\Simone-Iacoponi,DF,Parma,it Serie A,33,13.3,50.0,0.03,-0.01
Iago\Iago,DF,Augsburg,de Bundesliga,23,17.3,22.2,0.10,0.01
Roger Ibanez\Roger-Ibanez,DF,Roma,it Serie A,21,26.6,25.0,0.05,-0.03
Vedad Ibišević\Vedad-Ibisevic,FW,Schalke 04,de Bundesliga,35,1.7,0.0,0.27,-0.29
Vicente Iborra\Vicente-Iborra,MF,Villarreal,es La Liga,32,10.3,0.0,0.05,-0.02
Didier Ibrahim Ndong\Didier-Ibrahim-Ndong,MF,Dijon,fr Ligue 1,26,29.0,16.7,0.03,-0.01
Zlatan Ibrahimović\Zlatan-Ibrahimovic,FW,Milan,it Serie A,38,16.6,44.7,0.16,-0.08
Mauro Icardi\Mauro-Icardi,FW,Paris S-G,fr Ligue 1,27,12.0,34.2,0.23,-0.22
Oussama Idrissi\Oussama-Idrissi,FWMF,Sevilla,es La Liga,24,0.3,100.0,0.29,-1.00
Blendi Idrizi\Blendi-Idrizi,MF,Schalke 04,de Bundesliga,22,2.6,25.0,0.11,0.19
Odion Ighalo\Odion-Ighalo,FW,Manchester Utd,eng Premier League,31,0.1,,,0.00
Iglesias\Iglesias,DFMF,Getafe,es La Liga,22,6.7,25.0,0.03,-0.01
Borja Iglesias\Borja-Iglesias,FW,Betis,es La Liga,27,15.7,29.4,0.12,0.21
Igor\Igor,DF,Fiorentina,it Serie A,22,13.0,100.0,0.14,-0.01
Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,eng Premier League,23,16.2,43.1,0.12,0.26
Jonathan Ikone\Jonathan-Ikone,MFFW,Lille,fr Ligue 1,22,24.2,25.6,0.08,-0.01
Yun Il-lok\Yun-Il-lok,MFFW,Montpellier,fr Ligue 1,28,3.5,0.0,0.09,-0.14
Ilaix\Ilaix,MF,Barcelona,es La Liga,17,6.0,23.1,0.09,-0.03
Ivan Ilić\Ivan-Ilic,MF,Hellas Verona,it Serie A,19,20.4,25.0,0.09,0.04
Josip Iličić\Josip-Ilicic,FWMF,Atalanta,it Serie A,32,17.0,31.6,0.07,0.02
Asier Illarramendi\Asier-Illarramendi,MF,Real Sociedad,es La Liga,30,3.7,,,0.00
Stefan Ilsanker\Stefan-Ilsanker,MFDF,Eint Frankfurt,de Bundesliga,31,17.5,30.8,0.09,-0.01
Ciro Immobile\Ciro-Immobile,FW,Lazio,it Serie A,30,31.7,38.6,0.12,0.00
Riccardo Improta\Riccardo-Improta,MFDF,Benevento,it Serie A,26,25.9,16.7,0.06,-0.05
Roberto Inglese\Roberto-Inglese,FW,Parma,it Serie A,28,6.4,62.5,0.07,-0.09
Danny Ings\Danny-Ings,FW,Southampton,eng Premier League,28,24.1,43.6,0.12,0.15
Marcus Ingvartsen\Marcus-Ingvartsen,MFFW,Union Berlin,de Bundesliga,24,21.8,35.1,0.09,-0.05
Lorenzo Insigne\Lorenzo-Insigne,FW,Napoli,it Serie A,29,31.8,29.4,0.07,0.09
Roberto Insigne\Roberto-Insigne,MFFW,Benevento,it Serie A,26,17.8,31.6,0.10,-0.08
Pablo Insua\Pablo-Insua,DF,Huesca,es La Liga,26,17.6,0.0,0.03,-0.01
Takashi Inui\Takashi-Inui,MFFW,Eibar,es La Liga,32,20.2,45.9,0.06,-0.07
Artur Ioniță\Artur-Ionita,MF,Benevento,it Serie A,29,31.5,33.3,0.06,0.02
Alexander Isak\Alexander-Isak,FW,Real Sociedad,es La Liga,20,26.0,50.0,0.19,0.06
Isco\Isco,MFFW,Real Madrid,es La Liga,28,10.1,14.3,0.09,-0.18
Ardian Ismajli\Ardian-Ismajli,DF,Spezia,it Serie A,23,14.4,16.7,0.08,0.03
Branislav Ivanović\Branislav-Ivanovic,DF,West Brom,eng Premier League,36,8.5,25.0,0.15,-0.07
Alex Iwobi\Alex-Iwobi,FWDF,Everton,eng Premier League,24,17.1,20.0,0.07,-0.01
Jairo Izquierdo\Jairo-Izquierdo,MFDF,Cádiz,es La Liga,26,14.2,30.0,0.08,0.01
José Izquierdo\Jose-Izquierdo,DF,Brighton,eng Premier League,28,0.1,100.0,0.01,0.00
Armando Izzo\Armando-Izzo,DF,Torino,it Serie A,28,22.3,20.0,0.09,0.03
Phil Jagielka\Phil-Jagielka,DF,Sheffield Utd,eng Premier League,37,5.8,,,0.00
Alireza Jahanbakhsh\Alireza-Jahanbakhsh,FWMF,Brighton,eng Premier League,26,5.9,15.8,0.09,-0.27
Mato Jajalo\Mato-Jajalo,MF,Udinese,it Serie A,32,0.4,,,0.00
Ismail Jakobs\Ismail-Jakobs,DFMF,Köln,de Bundesliga,20,19.2,27.3,0.09,-0.05
Daniel James\Daniel-James,FW,Manchester Utd,eng Premier League,22,10.1,35.3,0.14,0.07
Reece James\Reece-James,DF,Chelsea,eng Premier League,20,26.4,33.3,0.04,-0.02
Alexandre Jankewitz\Alexandre-Jankewitz,MF,Southampton,eng Premier League,18,0.0,,,0.0
Saidy Janko\Saidy-Janko,DF,Valladolid,es La Liga,24,13.6,33.3,0.13,-0.03
Jakub Jankto\Jakub-Jankto,MF,Sampdoria,it Serie A,24,26.8,27.5,0.13,0.03
Tony Jantschke\Tony-Jantschke,DF,M'Gladbach,de Bundesliga,30,3.0,50.0,0.11,-0.07
Adnan Januzaj\Adnan-Januzaj,FWMF,Real Sociedad,es La Liga,25,11.3,31.0,0.10,-0.10
Rune Jarstein\Rune-Jarstein,GK,Hertha BSC,de Bundesliga,35,8.0,,,0.00
Jason\Jason,MFDF,Valencia,es La Liga,26,4.9,0.0,0.03,-0.04
Luis Javier Suárez\Luis-Javier-Suarez,FWMF,Granada,es La Liga,22,18.5,33.3,0.14,-0.09
Corentin Jean\Corentin-Jean,FWMF,Lens,fr Ligue 1,25,6.4,45.5,0.06,-0.05
Daniel Jebbison\Daniel-Jebbison,FW,Sheffield Utd,eng Premier League,17,3.2,50.0,0.41,-0.19
Tin Jedvaj\Tin-Jedvaj,DF,Leverkusen,de Bundesliga,24,1.7,0.0,0.03,0.00
Fredrik Jensen\Fredrik-Jensen,FWMF,Augsburg,de Bundesliga,22,4.2,0.0,0.05,-0.07
Jesé\Jese,FW,Paris S-G,fr Ligue 1,27,0.3,,,0.00
Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,eng Premier League,23,22.9,29.6,0.16,0.01
Juan Jesus\Juan-Jesus,DF,Roma,it Serie A,29,1.7,,,0.00
