,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,eng Premier League,32,31,2576,0.00,0.03,0.03,0.03,0.03
Toma Bašić\Toma-Basic,MF,Bordeaux,fr Ligue 1,23,34,2601,0.14,0.03,0.17,0.11,0.07
Álvaro Bastida\Alvaro-Bastida,MF,Cádiz,es La Liga,16,1,35,0.00,0.00,0.00,0.00,0.00
Alessandro Bastoni\Alessandro-Bastoni,DF,Inter,it Serie A,21,33,2922,0.00,0.09,0.09,0.04,0.06
Simone Bastoni\Simone-Bastoni,DF,Spezia,it Serie A,23,22,1522,0.06,0.41,0.47,0.08,0.20
Bastos\Bastos,DF,Lazio,it Serie A,29,2,63,0.00,0.00,0.00,0.00,0.00
Michy Batshuayi\Michy-Batshuayi,FW,Crystal Palace,eng Premier League,26,18,728,0.25,0.12,0.37,0.17,0.17
Rodrigo Battaglia\Rodrigo-Battaglia,MF,Alavés,es La Liga,29,32,2492,0.04,0.00,0.04,0.04,0.01
Cristian Battocchio\Cristian-Battocchio,MFFW,Brest,fr Ligue 1,28,15,355,0.00,0.00,0.00,0.13,0.05
Oliver Baumann\Oliver-Baumann,GK,Hoffenheim,de Bundesliga,30,31,2790,0.00,0.00,0.00,0.00,0.00
Julian Baumgartlinger\Julian-Baumgartlinger,MF,Leverkusen,de Bundesliga,32,17,1072,0.17,0.00,0.17,0.12,0.03
Christoph Baumgartner\Christoph-Baumgartner,MFFW,Hoffenheim,de Bundesliga,20,31,2369,0.23,0.11,0.34,0.21,0.11
Jon Bautista\Jon-Bautista,FWMF,Real Sociedad,es La Liga,25,21,370,0.00,0.24,0.24,0.24,0.05
Paul Baysse\Paul-Baysse,DF,Bordeaux,fr Ligue 1,32,31,2614,0.07,0.07,0.14,0.04,0.02
Noah Joel Sarenren Bazee\Noah-Joel-Sarenren-Bazee,FWMF,Augsburg,de Bundesliga,23,5,36,0.00,2.50,2.50,0.00,1.75
Ihlas Bebou\Ihlas-Bebou,FW,Hoffenheim,de Bundesliga,26,32,2200,0.37,0.29,0.65,0.37,0.20
Rodrigo Becão\Rodrigo-Becao,DF,Udinese,it Serie A,24,35,2780,0.03,0.00,0.03,0.03,0.01
Sheraldo Becker\Sheraldo-Becker,FWMF,Union Berlin,de Bundesliga,25,18,1106,0.24,0.24,0.49,0.16,0.26
Timo Becker\Timo-Becker,DF,Schalke 04,de Bundesliga,23,20,1640,0.00,0.00,0.00,0.01,0.02
Jan Bednarek\Jan-Bednarek,DF,Southampton,eng Premier League,24,36,3100,0.03,0.03,0.06,0.03,0.01
Donny van de Beek\Donny-van-de-Beek,MFFW,Manchester Utd,eng Premier League,23,19,524,0.17,0.17,0.34,0.05,0.17
Valon Behrami\Valon-Behrami,MF,Genoa,it Serie A,35,26,892,0.00,0.00,0.00,0.04,0.01
Brian Behrendt\Brian-Behrendt,DF,Arminia,de Bundesliga,28,3,79,0.00,0.00,0.00,0.00,0.00
Maximilian Beier\Maximilian-Beier,FWDF,Hoffenheim,de Bundesliga,17,3,10,0.00,0.00,0.00,0.00,0.00
Ishak Belfodil\Ishak-Belfodil,FW,Hoffenheim,de Bundesliga,28,14,596,0.00,0.15,0.15,0.24,0.15
Erwan Belhadji\Erwan-Belhadji,MF,Dijon,fr Ligue 1,19,1,30,0.00,0.00,0.00,0.00,0.00
Haris Belkebla\Haris-Belkebla,MF,Brest,fr Ligue 1,26,35,2727,0.00,0.00,0.00,0.02,0.02
Stefan Bell\Stefan-Bell,DF,Mainz 05,de Bundesliga,28,16,1266,0.07,0.07,0.14,0.03,0.09
Karim Bellarabi\Karim-Bellarabi,FWMF,Leverkusen,de Bundesliga,30,22,798,0.00,0.00,0.00,0.25,0.20
Jean-Ricner Bellegarde\Jean-Ricner-Bellegarde,MFFW,Strasbourg,fr Ligue 1,22,36,2086,0.04,0.04,0.09,0.12,0.07
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,eng Premier League,25,25,2089,0.04,0.09,0.13,0.03,0.10
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,29,1697,0.05,0.16,0.21,0.16,0.17
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,35,2888,0.40,0.19,0.59,0.43,0.21
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,32,1399,0.19,0.00,0.19,0.09,0.02
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,1,7,0.00,0.00,0.00,0.00,0.00
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,24,1703,0.11,0.21,0.32,0.12,0.18
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,1,7,0.00,0.00,0.00,0.00,0.00
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,37,2607,0.69,0.24,0.93,0.66,0.22
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,18,1214,0.00,0.07,0.07,0.06,0.09
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,5,42,0.00,0.00,0.00,0.00,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,14,936,0.10,0.19,0.29,0.12,0.05
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,18,1170,0.00,0.00,0.00,0.01,0.03
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,32,1579,0.29,0.17,0.46,0.43,0.11
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,12,660,0.14,0.14,0.27,0.05,0.08
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,7,150,0.00,0.59,0.60,0.06,0.24
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38,3420,0.00,0.00,0.00,0.00,0.00
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,31,2651,0.00,0.00,0.00,0.01,0.05
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,1,2,0,0,0.00,0.0,0.0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,3,73,0.00,0.00,0.00,0.00,0.25
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,6,149,0.00,0.00,0.00,0.00,0.00
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,21,1326,0.00,0.14,0.14,0.05,0.03
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,30,1391,0.06,0.39,0.45,0.15,0.28
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,23,1239,0.00,0.00,0.00,0.06,0.22
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,25,1811,0.20,0.00,0.20,0.11,0.02
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,6,264,0.00,0.00,0.00,0.07,0.00
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,9,548,0.00,0.00,0.00,0.13,0.02
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,33,2324,0.00,0.16,0.15,0.03,0.10
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,30,1816,0.50,0.05,0.55,0.40,0.05
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,34,2894,0.71,0.28,1.00,0.55,0.20
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,7,407,0.44,0.22,0.66,0.40,0.07
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,1,28,0.00,0.00,0.00,0.00,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,30,2475,0.62,0.25,0.87,0.53,0.19
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,2,113,0.00,0.00,0.00,0.00,0.00
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,23,1682,0.05,0.16,0.21,0.04,0.10
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,2,131,0.00,0.00,0.00,0.20,0.00
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,35,2278,0.32,0.16,0.47,0.24,0.15
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,31,2607,0.03,0.00,0.03,0.00,0.02
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,22,1363,0.13,0.00,0.13,0.11,0.03
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,15,1120,0.08,0.08,0.16,0.10,0.10
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,21,1208,0.07,0.22,0.30,0.19,0.10
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,24,1645,0.00,0.16,0.16,0.05,0.09
Bernard\Bernard,MFFW,Everton,eng Premier League,27,12,455,0.20,0.00,0.20,0.04,0.14
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,27,972,0.00,0.19,0.19,0.14,0.19
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,3,206,0.00,0.00,0.00,0.13,0.09
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38,3420,0.00,0.00,0.00,0.00,0.00
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,3,194,0.00,0.00,0.00,0.00,0.14
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,9,745,0.00,0.00,0.00,0.00,0.00
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,1,5,0.00,0.00,0.00,0.00,0.00
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,29,2598,0.00,0.03,0.03,0.02,0.04
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,18,615,0.00,0.29,0.29,0.12,0.22
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1,90,0.00,0.00,0.00,0.00,0.00
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,4,188,0.00,0.00,0.00,0.00,0.00
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,19,270,0.67,0.00,0.67,0.70,0.07
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,2,92,0.00,0.00,0.00,0.00,0.20
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,2,128,0.71,0.00,0.70,0.29,0.00
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,21,1529,0.00,0.00,0.00,0.05,0.00
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,33,1245,0.29,0.07,0.36,0.17,0.04
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,35,2803,0.03,0.16,0.19,0.06,0.22
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,13,915,0.00,0.00,0.00,0.01,0.01
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,36,3111,0.03,0.00,0.03,0.03,0.03
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,27,1514,0.24,0.06,0.30,0.26,0.08
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,4,220,0.00,0.00,0.00,0.00,0.04
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,13,580,0.16,0.00,0.16,0.13,0.08
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,19,1637,0.00,0.00,0.00,0.00,0.00
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,36,2787,0.32,0.13,0.45,0.21,0.12
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,1,11,0.00,0.00,0.00,0.00,0.00
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,29,2368,0.04,0.04,0.08,0.01,0.02
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,23,911,0.00,0.10,0.10,0.11,0.21
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,9,251,0.00,0.00,0.00,0.00,0.04
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,31,2065,0.09,0.17,0.26,0.12,0.26
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,24,1863,0.00,0.05,0.05,0.01,0.05
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,2,124,0.00,0.00,0.00,0.07,0.07
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,27,1785,0.20,0.10,0.30,0.18,0.06
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,9,277,0.00,0.32,0.32,0.03,0.06
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,16,1110,0.16,0.00,0.16,0.15,0.02
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,24,1314,0.14,0.14,0.27,0.13,0.12
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,21,1879,0.05,0.05,0.10,0.05,0.02
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,34,2256,0.12,0.08,0.20,0.11,0.13
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,20,564,0.32,0.32,0.64,0.25,0.11
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,2,131,0.00,0.67,0.69,0.13,0.60
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,30,2469,0.00,0.00,0.00,0.05,0.01
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,26,2028,0.09,0.00,0.09,0.12,0.03
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1,90,0.00,0.00,0.00,0.00,0.00
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,2,11,0.00,0.00,0.00,0.00,0.00
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,24,2083,0.04,0.04,0.09,0.06,0.00
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,37,3309,0.00,0.00,0.00,0.03,0.01
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,36,2720,0.23,0.13,0.36,0.40,0.12
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,25,1736,0.16,0.10,0.26,0.12,0.06
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,14,651,0.00,0.14,0.14,0.32,0.32
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,14,732,0.12,0.00,0.12,0.20,0.05
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,12,605,0.15,0.00,0.15,0.21,0.03
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,33,2815,0.19,0.26,0.45,0.18,0.21
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33,2970,0.03,0.00,0.03,0.01,0.00
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,19,816,0.00,0.00,0.00,0.02,0.07
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,15,528,0.17,0.00,0.17,0.10,0.10
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,37,2552,0.21,0.18,0.39,0.20,0.19
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,1,11,0.00,0.00,0.00,0.00,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,38,2562,0.28,0.18,0.46,0.22,0.16
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,19,1545,0.06,0.00,0.06,0.03,0.04
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,35,3041,0.03,0.06,0.09,0.06,0.01
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,34,2694,0.23,0.07,0.30,0.20,0.03
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,14,651,0.00,0.28,0.28,0.06,0.07
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,5,61,0.00,0.00,0.00,0.00,0.00
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,4,116,0.77,0.00,0.78,0.15,0.08
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,26,1263,0.07,0.14,0.21,0.02,0.09
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,19,1052,0.09,0.09,0.17,0.07,0.08
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,29,1175,0.15,0.15,0.31,0.38,0.15
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,31,1495,0.18,0.12,0.30,0.18,0.17
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,16,909,0.20,0.00,0.20,0.13,0.02
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,11,962,0.09,0.09,0.19,0.02,0.11
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,1,15,0.00,0.00,0.00,0.00,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20,1800,0.00,0.00,0.00,0.00,0.01
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1,90,0.00,0.00,0.00,0.00,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,29,1814,0.35,0.15,0.50,0.18,0.17
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,33,2935,0.15,0.00,0.15,0.10,0.02
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,1,1,0,0,0.00,0.0,0.0
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,27,1128,0.00,0.00,0.00,0.14,0.14
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,16,1225,0.00,0.00,0.00,0.01,0.01
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,24,571,0.16,0.32,0.47,0.25,0.02
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,25,1321,0.00,0.00,0.00,0.02,0.00
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,1,3,0,0,0.00,0.0,0.0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,38,3412,0.05,0.00,0.05,0.06,0.01
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,32,2774,0.06,0.00,0.06,0.05,0.02
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,21,1430,0.13,0.06,0.19,0.11,0.15
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,33,2813,0.00,0.03,0.03,0.06,0.04
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,33,2581,0.07,0.21,0.28,0.06,0.15
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,26,1616,0.06,0.06,0.11,0.07,0.13
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,2,24,0.00,0.00,0.00,0.00,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,12,475,0.19,0.38,0.57,0.25,0.13
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,31,2655,0.00,0.03,0.03,0.01,0.04
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,2,89,0.00,0.00,0.00,0.00,0.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,1,13,0.00,0.00,0.00,0.00,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,28,2265,0.16,0.12,0.28,0.16,0.21
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,16,669,0.14,0.00,0.13,0.05,0.05
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,13,1004,0.09,0.00,0.09,0.04,0.04
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,2,21,0.00,0.00,0.00,0.00,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,30,1625,0.61,0.00,0.61,0.39,0.03
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8,720,0.00,0.00,0.00,0.00,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,26,977,0.09,0.00,0.09,0.18,0.11
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,12,858,0.00,0.00,0.00,0.02,0.00
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,14,1111,0.24,0.08,0.32,0.27,0.01
Burgui\Burgui,MF,Alavés,es La Liga,26,1,21,0.00,0.00,0.00,0.00,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,29,1373,0.13,0.00,0.13,0.29,0.10
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,1,15,0.00,0.00,0.00,0.00,0.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,25,1269,0.07,0.07,0.14,0.17,0.13
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,19,1665,0.00,0.00,0.00,0.00,0.00
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,27,2061,0.04,0.00,0.04,0.07,0.04
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,1,1,0,0,0.00,0.0,0.0
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,22,1317,0.00,0.00,0.00,0.03,0.02
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,24,1195,0.00,0.08,0.08,0.04,0.11
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,36,2517,0.00,0.18,0.18,0.01,0.13
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1,90,0.00,0.00,0.00,0.00,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1,90,0.00,0.00,0.00,0.00,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,1,22,0.00,0.00,0.00,0.00,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1,90,0.00,0.00,0.00,0.00,0.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,20,1326,0.00,0.00,0.00,0.01,0.00
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1,90,0.00,0.00,0.00,0.00,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,22,942,0.10,0.10,0.19,0.11,0.12
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,29,2238,0.08,0.08,0.16,0.05,0.04
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,33,2797,0.00,0.06,0.06,0.01,0.05
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,31,2074,0.17,0.09,0.26,0.15,0.09
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20,1800,0.05,0.05,0.10,0.03,0.03
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,30,2252,0.04,0.00,0.04,0.06,0.02
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,25,929,0.78,0.00,0.78,0.51,0.07
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,5,361,0.00,0.00,0.00,0.00,0.00
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,10,759,0.12,0.12,0.24,0.08,0.17
Cala\Cala,DF,Cádiz,es La Liga,30,28,2272,0.12,0.00,0.12,0.06,0.01
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,it Serie A,24,1,20,0.00,0.00,0.00,0.00,0.00
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,2,14,0.00,0.00,0.00,0.00,0.00
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,32,2647,0.07,0.03,0.10,0.04,0.06
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,3,66,0.00,0.00,0.00,0.00,0.00
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,6,111,0.00,0.00,0.00,0.25,0.00
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,25,1572,0.11,0.00,0.11,0.06,0.01
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,33,2813,0.06,0.03,0.10,0.03,0.03
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,33,2614,0.14,0.31,0.45,0.19,0.30
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,4,296,0.00,0.00,0.00,0.03,0.00
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,10,183,0.00,0.00,0.00,0.00,0.05
Daniel Caligiuri\Daniel-Caligiuri,MFDF,Augsburg,de Bundesliga,32,33,2665,0.20,0.14,0.34,0.16,0.13
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,20,664,0.00,0.14,0.14,0.04,0.18
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,25,1544,0.29,0.12,0.41,0.34,0.08
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,33,2871,0.50,0.00,0.50,0.48,0.06
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,23,1779,0.10,0.00,0.10,0.05,0.00
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,1,15,0.00,0.00,0.00,0.00,0.00
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,37,3290,0.08,0.05,0.14,0.10,0.04
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,35,2402,0.04,0.07,0.11,0.07,0.05
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,9,748,0.12,0.24,0.36,0.17,0.17
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,28,2133,0.04,0.17,0.21,0.03,0.10
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,31,2498,0.29,0.22,0.50,0.19,0.18
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,28,2299,0.08,0.12,0.20,0.08,0.19
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,35,2505,0.18,0.29,0.47,0.17,0.21
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,4,237,0.00,0.00,0.00,0.08,0.38
