,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Jude Bellingham\Jude-Bellingham,MF,Dortmund,de Bundesliga,17,18.9,2.17,0.05,0.11
Andrea Belotti\Andrea-Belotti,FW,Torino,it Serie A,26,32.1,3.46,0.40,0.19
Fran Beltrán\Fran-Beltran,MF,Celta Vigo,es La Liga,21,15.5,1.48,0.13,0.00
Sami Ben Amar\Sami-Ben-Amar,MF,Nîmes,fr Ligue 1,22,0.1,0.00,0.00,0.00
Hatem Ben Arfa\Hatem-Ben-Arfa,MFFW,Bordeaux,fr Ligue 1,33,18.9,3.60,0.63,0.05
Salim Ben Seghir\Salim-Ben-Seghir,DF,Nice,fr Ligue 1,17,0.1,10.0,0.00,0.00
Wissam Ben Yedder\Wissam-Ben-Yedder,FW,Monaco,fr Ligue 1,29,29.0,2.86,0.28,0.03
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,13.5,2.15,0.15,0.00
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,0.5,2.00,0.00,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,10.4,1.63,0.10,0.00
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,13.0,0.92,0.00,0.00
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,17.5,1.71,0.17,0.17
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,7.3,3.15,0.14,0.00
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,1.7,3.53,0.00,0.00
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38.0,0.11,0.00,0.00
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,29.5,1.05,0.00,0.00
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,0.0,0,0,0
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,0.8,1.25,0.00,0.00
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,1.7,1.18,0.00,0.00
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,14.7,1.77,0.07,0.07
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,15.5,3.55,0.19,0.06
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,13.8,3.55,0.14,0.07
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,20.1,1.00,0.10,0.05
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,2.9,0.34,0.00,0.00
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,6.1,0.66,0.00,0.00
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,25.8,2.56,0.00,0.19
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,20.2,1.88,0.15,0.10
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,32.2,3.07,0.31,0.03
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,4.5,3.11,0.22,0.00
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,0.3,3.33,0.00,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,27.5,4.69,0.29,0.18
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,1.3,0.77,0.00,0.00
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,18.7,2.25,0.11,0.05
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,1.5,1.33,0.67,0.00
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,25.3,3.16,0.20,0.08
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,29.0,0.83,0.07,0.00
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,15.1,1.79,0.00,0.07
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,12.4,1.94,0.16,0.08
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,13.4,2.46,0.00,0.07
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,18.3,2.79,0.00,0.00
Bernard\Bernard,MFFW,Everton,eng Premier League,27,5.1,3.33,0.20,0.00
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,10.8,3.70,0.19,0.00
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,2.3,1.74,0.00,0.00
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38.0,0.00,0.00,0.00
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,2.2,1.36,0.00,0.00
Dimitry Bertaud\Dimitry-Bertaud,GK,Montpellier,fr Ligue 1,22,8.3,0.00,0.00,0.00
Marco Bertini\Marco-Bertini,MF,Lazio,it Serie A,17,0.1,0.00,0.00,0.00
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,eng Premier League,30,28.9,1.14,0.00,0.03
Daniel Bessa\Daniel-Bessa,MFFW,Hellas Verona,it Serie A,27,6.8,2.94,0.15,0.15
Loïc Bessile\Loic-Bessile,DF,Bordeaux,fr Ligue 1,21,1.0,0.00,0.00,0.00
Louis Beyer\Louis-Beyer,DF,M'Gladbach,de Bundesliga,20,2.1,0.95,0.00,0.00
Bartosz Bialek\Bartosz-Bialek,FWMF,Wolfsburg,de Bundesliga,18,3.0,3.33,0.00,0.00
Giulian Biancone\Giulian-Biancone,DFMF,Monaco,fr Ligue 1,20,1.0,2.00,0.00,0.00
Ermin Bičakčić\Ermin-Bicakcic,DF,Hoffenheim,de Bundesliga,30,1.4,0.00,0.00,0.00
Pedro Bigas\Pedro-Bigas,DF,Eibar,es La Liga,29,17.0,0.47,0.06,0.06
El Bilal Touré\El-Bilal-Toure,FWMF,Reims,fr Ligue 1,18,13.8,1.16,0.07,0.07
Cristiano Biraghi\Cristiano-Biraghi,DF,Fiorentina,it Serie A,27,31.1,2.54,0.03,0.00
Davide Biraschi\Davide-Biraschi,DF,Genoa,it Serie A,26,10.2,0.29,0.00,0.00
Yves Bissouma\Yves-Bissouma,MF,Brighton,eng Premier League,23,34.6,1.50,0.03,0.12
Leonardo Bittencourt\Leonardo-Bittencourt,MFFW,Werder Bremen,de Bundesliga,26,16.8,2.68,0.24,0.12
Blanco\Blanco,MFDF,Real Madrid,es La Liga,20,2.4,2.08,0.00,0.00
Alejandro Blanco\Alejandro-Blanco,MF,Valencia,es La Liga,21,6.4,1.72,0.16,0.00
Rubén Blanco\Ruben-Blanco,GK,Celta Vigo,es La Liga,25,18.2,0.00,0.00,0.00
Ludovic Blas\Ludovic-Blas,MFFW,Nantes,fr Ligue 1,22,31.0,2.42,0.42,0.03
Alejandro Blesa\Alejandro-Blesa,MF,Levante,es La Liga,18,0.1,10.0,0.00,0.00
Jérôme Boateng\Jerome-Boateng,DF,Bayern Munich,de Bundesliga,31,26.3,0.57,0.00,0.04
Antonin Bobichon\Antonin-Bobichon,MFFW,Angers,fr Ligue 1,24,10.1,3.86,0.20,0.10
Yann Bodiger\Yann-Bodiger,MF,Cádiz,es La Liga,25,2.8,2.14,0.00,0.71
Jean-Paul Boëtius\Jean-Paul-Boetius,MFFW,Mainz 05,de Bundesliga,26,22.9,2.62,0.17,0.04
Sacha Boey\Sacha-Boey,DF,Dijon,fr Ligue 1,19,20.7,1.55,0.14,0.00
Sacha Boey\Sacha-Boey,DF,Rennes,fr Ligue 1,19,1.4,0.71,0.00,0.00
Jeremie Boga\Jeremie-Boga,FWMF,Sassuolo,it Serie A,23,19.8,2.17,0.51,0.00
Melayro Bogarde\Melayro-Bogarde,DFMF,Hoffenheim,de Bundesliga,18,3.1,2.58,0.00,0.00
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,eng Premier League,20,12.3,0.89,0.24,0.00
Quentin Boisgard\Quentin-Boisgard,MFFW,Lorient,fr Ligue 1,23,14.6,3.29,0.00,0.07
Willy Boly\Willy-Boly,DF,Wolves,eng Premier League,29,20.9,0.53,0.00,0.00
Giacomo Bonaventura\Giacomo-Bonaventura,MF,Fiorentina,it Serie A,30,25.1,2.23,0.16,0.04
Federico Bonazzoli\Federico-Bonazzoli,FW,Torino,it Serie A,23,6.3,2.22,0.16,0.16
Federico Bonazzoli\Federico-Bonazzoli,FW,Sampdoria,it Serie A,23,1.5,1.33,0.00,0.00
Kevin Bonifazi\Kevin-Bonifazi,DF,Udinese,it Serie A,24,27.4,0.26,0.00,0.00
Leonardo Bonucci\Leonardo-Bonucci,DF,Juventus,it Serie A,33,22.5,0.40,0.00,0.00
Elias Bördner\Elias-Bordner,GK,Eint Frankfurt,de Bundesliga,18,1.0,0.00,0.00,0.00
Dennis Borkowski\Dennis-Borkowski,MFFW,RB Leipzig,de Bundesliga,18,0.1,10.0,0.00,0.00
Sebastiaan Bornauw\Sebastiaan-Bornauw,DF,Köln,de Bundesliga,21,23.1,0.09,0.00,0.00
Sven Botman\Sven-Botman,DF,Lille,fr Ligue 1,20,36.8,0.35,0.00,0.00
Denis Bouanga\Denis-Bouanga,MFFW,Saint-Étienne,fr Ligue 1,25,30.2,2.75,0.70,0.17
Hicham Boudaoui\Hicham-Boudaoui,MFFW,Nice,fr Ligue 1,20,19.3,0.83,0.16,0.05
Ryad Boudebouz\Ryad-Boudebouz,MFFW,Saint-Étienne,fr Ligue 1,30,7.2,5.97,0.69,0.14
Sofiane Boufal\Sofiane-Boufal,FWMF,Angers,fr Ligue 1,26,8.1,2.22,0.37,0.12
Nassim Boujellab\Nassim-Boujellab,MFFW,Schalke 04,de Bundesliga,21,6.7,2.09,0.00,0.00
Farid Boulaya\Farid-Boulaya,MFFW,Metz,fr Ligue 1,27,31.3,4.73,0.29,0.03
Yassine Bounou\Yassine-Bounou,GK,Sevilla,es La Liga,29,33.0,0.12,0.00,0.00
Ismaëlben Boura\Ismaelben-Boura,DF,Lens,fr Ligue 1,19,9.1,0.99,0.11,0.00
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,5.9,1.19,0.34,0.00
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,28.4,3.77,0.04,0.04
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,0.1,20.0,0.00,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,28.5,2.74,0.14,0.04
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,17.2,0.47,0.00,0.00
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,33.8,0.38,0.00,0.03
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,29.9,1.30,0.17,0.07
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,7.2,1.25,0.14,0.00
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,0.7,5.71,1.43,0.00
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,1.3,2.31,0.77,0.00
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,14.0,1.64,0.00,0.00
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,11.7,1.45,0.00,0.09
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,13.1,1.76,0.08,0.08
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,16.6,4.04,0.24,0.00
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,10.1,1.68,0.00,0.00
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,10.7,0.65,0.00,0.00
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,0.2,0.00,0.00,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20.0,0.25,0.00,0.00
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1.0,0.00,0.00,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,20.2,3.61,0.30,0.00
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,32.6,0.58,0.00,0.03
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,0.0,0,0,0
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,12.5,1.76,0.00,0.00
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,13.6,0.51,0.00,0.00
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,6.3,0.63,0.00,0.00
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,14.7,0.27,0.00,0.00
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,0.0,0,0,0
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,37.9,0.63,0.03,0.03
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,30.8,0.71,0.03,0.03
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,15.9,2.45,0.06,0.00
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,31.3,1.47,0.06,0.06
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,28.7,3.00,0.03,0.07
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,18.0,2.78,0.00,0.06
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,0.3,0.00,0.00,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,5.3,2.83,0.19,0.00
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,29.5,0.85,0.03,0.00
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,1.0,2.00,0.00,0.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,0.1,0.00,0.00,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,25.2,3.89,0.56,0.04
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,7.4,2.57,0.27,0.00
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,11.2,0.45,0.00,0.00
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,0.2,0.00,0.00,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,18.1,1.33,0.11,0.06
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8.0,0.25,0.00,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,10.9,2.11,0.18,0.09
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,9.5,0.21,0.00,0.00
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,12.3,0.57,0.00,0.00
Burgui\Burgui,MF,Alavés,es La Liga,26,0.2,0.00,0.00,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,15.3,1.90,0.07,0.00
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,0.2,0.00,0.00,0.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,14.1,1.99,0.43,0.14
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,18.5,0.05,0.00,0.00
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,22.9,0.87,0.00,0.00
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,0.0,0,0,0
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,14.6,1.30,0.14,0.00
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,13.3,1.35,0.08,0.08
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,28.0,2.43,0.00,0.07
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1.0,0.00,0.00,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1.0,0.00,0.00,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,0.2,0.00,0.00,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1.0,0.00,0.00,0.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,14.7,0.41,0.00,0.00
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1.0,0.00,0.00,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,10.5,2.00,0.38,0.10
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,24.9,0.88,0.00,0.00
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,31.1,1.19,0.06,0.00
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,23.0,1.78,0.13,0.13
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20.0,0.60,0.00,0.00
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,25.0,1.12,0.04,0.08
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,10.3,2.43,0.49,0.00
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,4.0,0.00,0.00,0.00
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,8.4,4.17,0.36,0.00
Cala\Cala,DF,Cádiz,es La Liga,30,25.2,0.40,0.04,0.04
Arturo Calabresi\Arturo-Calabresi,DF,Bologna,it Serie A,24,0.2,0.00,0.00,0.00
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,0.2,0.00,0.00,0.00
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,29.4,1.60,0.03,0.00
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,0.7,0.00,0.00,0.00
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,1.2,0.00,0.00,0.00
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,17.5,0.29,0.00,0.06
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,31.3,0.35,0.00,0.00
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,29.0,6.00,0.10,0.03
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,3.3,0.00,0.00,0.00
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,2.0,1.00,0.00,0.00
Daniel Caligiuri\Daniel-Caligiuri,MFDF,Augsburg,de Bundesliga,32,29.6,2.94,0.34,0.07
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,7.4,1.62,0.00,0.14
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,17.2,1.40,0.12,0.06
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,31.9,1.57,0.06,0.06
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,19.8,0.00,0.00,0.00
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,0.2,0.00,0.00,0.00
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,36.6,1.67,0.11,0.08
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,26.7,1.65,0.07,0.04
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,8.3,2.65,0.12,0.00
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,23.7,1.43,0.13,0.08
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,27.8,3.85,0.14,0.00
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,25.5,2.78,0.27,0.00
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,27.8,3.78,0.14,0.00
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,2.6,2.31,0.38,0.00
Ander Capa\Ander-Capa,DF,Athletic Club,es La Liga,28,23.7,1.52,0.04,0.04
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,fr Ligue 1,33,22.8,2.28,0.22,0.13
Étienne Capoue\Etienne-Capoue,MF,Villarreal,es La Liga,32,13.2,0.68,0.08,0.08
Elio Capradossi\Elio-Capradossi,DF,Spezia,it Serie A,24,1.0,0.00,0.00,0.00
Gianluca Caprari\Gianluca-Caprari,MFFW,Benevento,it Serie A,27,20.7,3.62,0.43,0.10
Francesco Caputo\Francesco-Caputo,FW,Sassuolo,it Serie A,32,18.9,2.22,0.16,0.00
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,fr Ligue 1,20,19.6,2.40,0.10,0.05
Andrea Carboni\Andrea-Carboni,DF,Cagliari,it Serie A,19,12.1,0.58,0.00,0.00
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,es La Liga,27,28.7,1.11,0.00,0.00
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8.0,0.00,0.00,0.00
Irvin Cardona\Irvin-Cardona,FWMF,Brest,fr Ligue 1,22,22.5,2.04,0.13,0.00
Marc Cardona\Marc-Cardona,FWMF,Osasuna,es La Liga,25,0.6,0.00,0.00,0.00
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,eng Premier League,20,3.9,2.31,0.77,0.00
Diego Carlos\Diego-Carlos,DF,Sevilla,es La Liga,27,31.0,0.48,0.00,0.00
Juan Carlos\Juan-Carlos,MFFW,Huesca,es La Liga,29,3.2,3.13,0.00,0.31
Lionel Carole\Lionel-Carole,DF,Strasbourg,fr Ligue 1,29,14.9,1.41,0.00,0.00
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,es La Liga,26,24.2,3.64,0.58,0.00
Sergio Carreira\Sergio-Carreira,DF,Celta Vigo,es La Liga,19,2.9,0.00,0.00,0.00
Guido Carrillo\Guido-Carrillo,FW,Elche,es La Liga,29,11.1,1.53,0.09,0.00
Andy Carroll\Andy-Carroll,FW,Newcastle Utd,eng Premier League,31,4.4,2.05,0.23,0.23
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1.0,0.00,0.00,0.00
Dani Carvajal\Dani-Carvajal,DF,Real Madrid,es La Liga,28,10.6,1.70,0.09,0.09
Fabio Carvalho\Fabio-Carvalho,MFFW,Fulham,eng Premier League,17,2.8,1.79,0.36,0.36
William Carvalho\William-Carvalho,MF,Betis,es La Liga,28,13.6,1.47,0.07,0.00
Casemiro\Casemiro,MF,Real Madrid,es La Liga,28,32.2,1.65,0.00,0.09
Matty Cash\Matty-Cash,DF,Aston Villa,eng Premier League,22,26.4,1.25,0.08,0.04
Kiko Casilla\Kiko-Casilla,GK,Leeds United,eng Premier League,33,3.0,0.33,0.00,0.00
Giuseppe Caso\Giuseppe-Caso,MF,Genoa,it Serie A,21,0.6,3.33,0.00,0.00
Moreto Cassamã\Moreto-Cassama,MF,Reims,fr Ligue 1,22,22.6,1.50,0.09,0.00
Francesco Cassata\Francesco-Cassata,DFMF,Genoa,it Serie A,23,2.5,1.20,0.00,0.00
Timothy Castagne\Timothy-Castagne,DF,Leicester City,eng Premier League,24,26.1,1.57,0.00,0.08
Koen Casteels\Koen-Casteels,GK,Wolfsburg,de Bundesliga,28,32.0,0.06,0.00,0.00
Jean-Charles Castelletto\Jean-Charles-Castelletto,DF,Nantes,fr Ligue 1,25,21.6,0.32,0.00,0.00
Samu Castillejo\Samu-Castillejo,FW,Milan,it Serie A,25,13.1,2.06,0.08,0.00
Gonzalo Castro\Gonzalo-Castro,MFFW,Stuttgart,de Bundesliga,33,19.2,4.01,0.16,0.16
Jonny Castro\Jonny-Castro,DF,Wolves,eng Premier League,26,5.5,1.09,0.00,0.00
Gaetano Castrovilli\Gaetano-Castrovilli,MF,Fiorentina,it Serie A,23,25.9,2.01,0.04,0.00
Danilo Cataldi\Danilo-Cataldi,MF,Lazio,it Serie A,25,6.3,2.06,0.16,0.16
Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,eng Premier League,26,27.5,2.62,0.11,0.07
Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,eng Premier League,33,15.3,2.22,0.13,0.13
Dani Ceballos\Dani-Ceballos,MF,Arsenal,eng Premier League,23,17.9,3.07,0.06,0.06
Federico Ceccherini\Federico-Ceccherini,DF,Hellas Verona,it Serie A,28,19.3,0.67,0.00,0.00
Federico Ceccherini\Federico-Ceccherini,DF,Fiorentina,it Serie A,28,3.0,0.00,0.00,0.00
Zeki Çelik\Zeki-Celik,DF,Lille,fr Ligue 1,23,26.5,1.66,0.08,0.04
Bersant Celina\Bersant-Celina,MFFW,Dijon,fr Ligue 1,23,25.5,2.63,0.04,0.04
Fabien Centonze\Fabien-Centonze,DF,Metz,fr Ligue 1,24,35.8,1.37,0.08,0.11
Luca Ceppitelli\Luca-Ceppitelli,DF,Cagliari,it Serie A,30,16.3,0.49,0.00,0.06
Alberto Cerri\Alberto-Cerri,FWMF,Cagliari,it Serie A,24,4.1,5.37,0.73,0.00
Sava Cestic\Sava-Cestic,DF,Köln,de Bundesliga,19,10.0,0.40,0.00,0.10
Julian Chabot\Julian-Chabot,DF,Spezia,it Serie A,22,18.4,0.60,0.00,0.00
Nassim Chadli\Nassim-Chadli,FWMF,Nîmes,fr Ligue 1,19,0.3,0.00,0.00,0.00
Fouad Chafik\Fouad-Chafik,DF,Dijon,fr Ligue 1,33,18.0,1.00,0.06,0.00
Mehdi Chahiri\Mehdi-Chahiri,FWMF,Strasbourg,fr Ligue 1,24,8.9,2.25,0.56,0.11
Sofian Chakla\Sofian-Chakla,DF,Villarreal,es La Liga,26,0.1,0.00,0.00,0.00
Sofian Chakla\Sofian-Chakla,DF,Getafe,es La Liga,26,10.0,0.20,0.00,0.00
Aníbal Chalá\Anibal-Chala,DF,Dijon,fr Ligue 1,24,8.3,0.96,0.12,0.00
Trevoh Chalobah\Trevoh-Chalobah,DFMF,Lorient,fr Ligue 1,21,24.9,1.04,0.04,0.04
Calum Chambers\Calum-Chambers,DF,Arsenal,eng Premier League,25,8.4,1.90,0.00,0.00
Timothy Chandler\Timothy-Chandler,DF,Eint Frankfurt,de Bundesliga,30,4.8,1.46,0.21,0.00
Kwon Chang-hoon\Kwon-Chang-hoon,MFFW,Freiburg,de Bundesliga,26,2.4,1.67,0.00,0.00
Gaëtan Charbonnier\Gaetan-Charbonnier,MFFW,Brest,fr Ligue 1,31,17.4,2.70,0.29,0.11
Brendan Chardonnet\Brendan-Chardonnet,DF,Brest,fr Ligue 1,25,30.2,0.36,0.00,0.00
Xavier Chavalerin\Xavier-Chavalerin,MF,Reims,fr Ligue 1,29,28.3,1.17,0.00,0.04
Pape Cheikh Diop\Pape-Cheikh-Diop,MF,Dijon,fr Ligue 1,22,12.1,1.65,0.00,0.00
Chema\Chema,DFMF,Getafe,es La Liga,28,6.2,0.16,0.00,0.00
Rayan Cherki\Rayan-Cherki,FWMF,Lyon,fr Ligue 1,16,7.8,4.36,0.38,0.00
Denis Cheryshev\Denis-Cheryshev,MF,Valencia,es La Liga,29,12.2,2.13,0.16,0.16
Giorgio Chiellini\Giorgio-Chiellini,DF,Juventus,it Serie A,35,15.4,0.71,0.00,0.00
